orcid,orcidFam,orcidGiven,eraCreator,resource
0000-0002-9292-255X,Gaudet,Matthew,"Gaudet, Matthew",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b2/77/3w/31/b2773w312
0000-0002-2102-8323,Bhaiya,Madhur,"Bhaiya,Madhur",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sj/13/92/22/sj139222d
0000-0003-4270-3081,Liu,Xunchen,"Liu, Xunchen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fj/23/62/84/fj236284n
0000-0002-6897-8668,Richer,Lawrence,"Richer, Lawrence",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9s/16/17/64/9s1617640
0000-0001-6692-2348,Droghini,Amanda,"Droghini, Amanda",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c8/91/0j/t6/c8910jt63p
0000-0001-6759-6484,Laur,Joan,"Laur, Joan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/q8/11/kk/39/q811kk395
0000-0002-9235-9111,Bullot,Nicolas J.,"Bullot, Nicolas J.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ck/06/98/76/ck0698762j
0000-0001-9056-9468,Zhou,Mi,"Zhou, Mi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/wh/24/6t/02/wh246t027
0000-0001-5521-9921,Mustafa,Ghulam,"Mustafa, Ghulam",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g7/32/d9/31/g732d931g
0000-0001-9790-8784,Franco-Villalobos,Conrado,"Franco-Villalobos, Conrado",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/xk/81/jk/42/xk81jk42v
0000-0001-6295-2435,Huan,Tao,"Huan, Tao",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/h4/40/s5/c6h440s580
0000-0002-8572-6331,McGetrick,Jennifer Ann,"McGetrick, Jennifer Ann",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cb/56/44/r6/cb5644r644
0000-0002-5259-861X,Kuzik,Nicholas,"Kuzik, Nicholas, OC",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2b/88/qg/14/2b88qg14j
0000-0003-3923-9206,Xing,Lida,"Xing, Lida",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1z/40/kt/43/1z40kt432
0000-0001-9421-4250,Hassanzadeh,Bardia,"Hassanzadeh, Bardia",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/rn/30/14/22/rn301422d
0000-0002-0890-9265,Miwa,Koji,"Miwa, Koji",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/vq/27/zp/35/vq27zp35j
0000-0001-6710-4080,Kobel,Ihor,"Kobel, Ihor",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7w/62/f8/67/7w62f8676
0000-0002-5762-5031,Yang,Jingqi,"Yang, Jingqi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cg/m8/0h/v3/cgm80hv37f
0000-0002-5887-1322,Uddin,Md Nasir,"Uddin, Md Nasir",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cz/c7/7s/q0/czc77sq097
0000-0001-7889-0312,Norris,Joe,"Norris, Joe",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/rf/55/zb/15/rf55zb15c
0000-0003-3750-2963,Adeeb,Samer,"Adeeb, Samer",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/t7/22/hc/54/t722hc54z
0000-0003-2394-0612,Shao,Peng,"Shao, Peng",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fx/71/9n/64/fx719n646
0000-0003-0086-4389,Soya,Naoto,"Soya, Naoto",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sn/00/9z/89/sn009z89v
0000-0001-7706-7199,Grant,Hercules,"Grant, Hercules",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g1/58/bj/80/g158bj804
0000-0003-4188-5725,Zhao,Yongxin,"Zhao, Yongxin",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9c/67/wq/60/9c67wq60x
0000-0003-4650-8064,Long,Wentong,"Long, Wentong",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cx/p6/8k/g2/cxp68kg26t
0000-0001-7054-8942,Kersten,Luke,"Kersten, Luke",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4q/77/fs/79/4q77fs79f
0000-0001-9973-137X,Luhanga,Ulemu,"Luhanga, Ulemu",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/12/57/9s/77/12579s77k
0000-0003-4630-5216,Wang,Nan,"Wang, Nan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5x/21/tg/63/5x21tg63p
0000-0001-5289-7217,Li,Ran,"Li, Ran",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mg/74/qm/51/mg74qm51p
