Column 1	mach_ID_Per	VIAF-ID	score	VIAF	match_ID-cor	score-c	org	Column 3	Column 4
Guthrie, Tyrone, Sir, 1900-1971	27186592	27186592	1.0	Guthrie, Tyrone, Sir, 1900-1971			Person		http://example.org/1081635#Agent700-27
University of Manchester. Dept. of Drama		122435238	;	University of Manchester. Dept. of Drama	122435238	1.0	Organization		http://example.org/1081635#Agent710-28
Page, Denys Lionel	108480048	108480048	1.0	Page, Denys Lionel			Person		http://example.org/1090308#Agent100-10
Euripides	265326651	265326651	0.8888888888888888	Euripides			Person		http://example.org/1090308#Agent600-18
Lawrence, Jerome, 1915-2004	113803993	113803993	1.0	Lawrence, Jerome, 1915-2004			Person		http://example.org/1080565#Agent100-11
Muni, Paul, 1895-1967	42041090	42041090	1.0	Muni, Paul, 1895-1967			Person		http://example.org/1080565#Agent600-19
Ghiano, Juan Carlos	44377493	44377493	1.0	Ghiano, Juan Carlos			Person		http://example.org/1009111#Agent100-10
Great Britain. Privy Council		141631515	;	Great Britain. Privy Council	141631515	1.0	Jurisdiction		http://example.org/107105#Agent110-10
Great Britain. Privy Council		141631515	;	Great Britain. Privy Council	141631515	1.0	Jurisdiction		http://example.org/107105#Agent610-19
Colloque de dialectologie francoprovençale, Neuchâtel, 1969				Colloque de dialectologie francoprovençale, Neuchâtel, 1969			Meeting		http://example.org/1093789#Agent111-10
Voillat, François	240298203	240298203	1.0	Voillat, François			Person		http://example.org/1093789#Agent700-19
Marzys, Zygmunt	24625410	24625410	1.0	Marzys, Zygmunt			Person		http://example.org/1093789#Agent700-20
Glossaire des patois de la Suisse romande		204321040		Glossaire des patois de la Suisse romande	204321040	1.0	Organization		http://example.org/1093789#Agent710-21
Camus, Albert, 1913-1960	97000332	97000332	0.96	Camus, Albert, 1913-1960			Person		http://example.org/1007902#Agent100-11
Ramírez Muñóz Ledo, Carlos G				Ramírez Muñóz Ledo, Carlos G			Person		http://example.org/1007861#Agent100-9
Chadwick, Lee			;	Chadwick, Lee			Person		http://example.org/105005#Agent100-12
Schaden, Egon	49353413	49353413	1.0	Schaden, Egon			Person		http://example.org/1025664#Agent100-11
Butts, R. Freeman (Robert Freeman), 1910-	108304275	108304275	1.0	Butts, R. Freeman (Robert Freeman), 1910-			Person		http://example.org/1055855#Agent100-10
Fraser, Louise Whitbeck				Fraser, Louise Whitbeck			Person		http://example.org/1036536#Agent100-11
Tan, Leong T	222462070	222462070	0.9230769230769231	Tan, Leong T			Person		http://example.org/1066479#Agent100-12
Tan, Margaret Y. C	231358489	231358489	0.9473684210526315	Tan, Margaret Y. C			Person		http://example.org/1066479#Agent700-21
Veith, Ilza	275985777	275985777	1.0	Veith, Ilza			Person		http://example.org/1066479#Agent700-22
Weatherby, Meredith	8396250	8396250	1.0	Weatherby, Meredith			Person		http://example.org/1085393#Agent700-27
Levere, Trevor Harvey	299102570	299102570	1.0	Levere, Trevor Harvey			Person		http://example.org/1061534#Agent100-14
Jarrell, Richard A., 1946-	72696934	72696934	1.0	Jarrell, Richard A., 1946-			Person		http://example.org/1061534#Agent700-27
Handy, Rollo	40615306	40615306	1.0	Handy, Rollo			Person		http://example.org/1077878#Agent100-11
Harwood, E. C. (Edward Crosby), 1900-1980	291974194	291974194	1.0	Harwood, E. C. (Edward Crosby), 1900-1980			Person		http://example.org/1077878#Agent700-22
Wray, Richard L				Wray, Richard L			Person		http://example.org/1041224#Agent100-10
Alberta Teachers' Association. Social Studies Council		139477399		Alberta Teachers' Association. Social Studies Council	139477399	1.0	Organization		http://example.org/1041224#Agent710-21
Frazier, Alexander	23434457	23434457	1.0	Frazier, Alexander			Person		http://example.org/1063265#Agent700-23
Association for Supervision and Curriculum Development. Elementary Education Advisory Council		265437391		Association for Supervision and Curriculum Development. Elementary Education Advisory Council	265437391	1.0	Organization		http://example.org/1063265#Agent710-24
National Education Association of the United States. Dept. of Elementary-Kindergarten-Nursery Education		147270098		National Education Association of the United States. Dept. of Elementary-Kindergarten-Nursery Education	147270098	1.0	Organization		http://example.org/1063265#Agent710-25
Seefeldt, Carol	65288497	65288497	0.9375	Seefeldt, Carol			Person		http://example.org/1038857#Agent100-14
Malinin, Theodore I., 1933-	70197061	70197061	1.0	Malinin, Theodore I., 1933- 			Person		http://example.org/1057401#Agent700-21
United States. Office of Naval Research		139500419	;	United States. Office of Naval Research	139500419	1.0	Jurisdiction		http://example.org/1057401#Agent710-22
University of Miami. Dept. of Surgery		153752208		University of Miami. Dept. of Surgery	153752208	0.8571428571428571	Organization		http://example.org/1057401#Agent710-23
Symposium on Acute Renal Failure (1974? : Halton, Eng.)				Symposium on Acute Renal Failure (1974? : Halton, Eng.)			Meeting		http://example.org/1043747#Agent111-10
Flynn, C. T	291231649	291231649	0.8181818181818182	Flynn, C. T			Person		http://example.org/1043747#Agent700-19
López-Rey, José	51810697	51810697	0.9375	López-Rey, José			Person		http://example.org/1086921#Agent100-11
Goya, Francisco, 1746-1828	54343141	54343141	1.0	Goya, Francisco, 1746-1828			Person		http://example.org/1086921#Agent600-19
Dunstan, Ralph, 1857-1933	63582358	63582358	1.0	Dunstan, Ralph, 1857-1933			Person		http://example.org/1081901#Agent100-10
Monroe, Paul, 1869-1947	3714528	3714528	1.0	Monroe, Paul, 1869-1947			Person		http://example.org/1060294#Agent100-11
Salisachs, Mercedes	79126548	79126548	1.0	Salisachs, Mercedes			Person		http://example.org/1054690#Agent100-11
Albrechtsberger, Johann Georg, 1736-1809	44565176	44565176	0.975609756097561	Albrechtsberger, Johann Georg, 1736-1809			Person		http://example.org/1050189#Agent100-10
Albrechtsberger, Johann Georg, 1736-1809	44565176	44565176	0.975609756097561	Albrechtsberger, Johann Georg, 1736-1809			Person		http://example.org/1041269#Agent100-9
Brodszky, Ferenc	62539849	62539849	1.0	Brodszky, Ferenc			Person		http://example.org/1041269#Agent700-19
Albrechtsberger, Johann Georg, 1736-1809	44565176	44565176	0.975609756097561	Albrechtsberger, Johann Georg, 1736-1809			Person		http://example.org/1050191#Agent100-10
Albrechtsberger, Johann Georg, 1736-1809	44565176	44565176	0.975609756097561	Albrechtsberger, Johann Georg, 1736-1809			Person		http://example.org/1050185#Agent100-10
Albrechtsberger, Johann Georg, 1736-1809	44565176	44565176	0.975609756097561	Albrechtsberger, Johann Georg, 1736-1809			Person		http://example.org/1050187#Agent100-10
Henze, Hans Werner, 1926-2012	97898884	97898884	1.0	Henze, Hans Werner, 1926-2012			Person		http://example.org/107691#Agent100-9
Henze, Hans Werner, 1926-2012	97898884	97898884	1.0	Henze, Hans Werner, 1926-2012			Person		http://example.org/107691#Agent700-19
Albinoni, Tomaso, 1671-1750	2655278	2655278	1.0	Albinoni, Tomaso, 1671-1750			Person		http://example.org/1002279#Agent100-11
Mendelssohn-Bartholdy, Felix, 1809-1847	2665666	2665666	0.975	Mendelssohn-Bartholdy, Felix, 1809-1847			Person		http://example.org/1002279#Agent700-27
Handel, George Frideric, 1685-1759	5126950	5126950	0.8285714285714286	Handel, George Frideric, 1685-1759			Person		http://example.org/1002279#Agent700-28
Marriner, Neville			;	Marriner, Neville			Person		http://example.org/1002279#Agent700-29
Handel, George Frideric, 1685-1759	5126950	5126950	0.8285714285714286	Handel, George Frideric, 1685-1759			Person		http://example.org/1002279#Agent700-30
Mozart, Wolfgang Amadeus, 1756-1791	32197206	32197206	0.9722222222222222	Mozart, Wolfgang Amadeus, 1756-1791			Person		http://example.org/1002279#Agent700-31
Pachelbel, Johann, 1653-1706	24795715	24795715	0.9655172413793104	Pachelbel, Johann, 1653-1706			Person		http://example.org/1002279#Agent700-32
Bach, Johann Sebastian, 1685-1750	12304462	12304462	0.9705882352941176	Bach, Johann Sebastian, 1685-1750			Person		http://example.org/1002279#Agent700-33
Mozart, Wolfgang Amadeus, 1756-1791	32197206	32197206	0.9722222222222222	Mozart, Wolfgang Amadeus, 1756-1791			Person		http://example.org/1002279#Agent700-34
Beethoven, Ludwig van, 1770-1827			;	Beethoven, Ludwig van, 1770-1827			Person		http://example.org/1002279#Agent700-35
Bach, Johann Sebastian, 1685-1750	12304462	12304462	0.9705882352941176	Bach, Johann Sebastian, 1685-1750			Person		http://example.org/1002279#Agent700-36
Academy of St. Martin-in-the-Fields		149879067	;	Academy of St. Martin-in-the-Fields	149879067	1.0	Organization		http://example.org/1002279#Agent710-37
Riggs, Stephen Return, 1812-1883	377330	377330	1.0	Riggs, Stephen Return, 1812-1883			Person		http://example.org/1099458#Agent100-11
Bandet, Jean-Louis	56605408	56605408	1.0	Bandet, Jean-Louis			Person		http://example.org/1034474#Agent100-10
Stifter, Adalbert, 1805-1868	22149114	22149114	0.9655172413793104	Stifter, Adalbert, 1805-1868			Person		http://example.org/1034474#Agent600-19
Gump, Margaret	91630906	91630906	1.0	Gump, Margaret			Person		http://example.org/1015913#Agent100-11
Stifter, Adalbert, 1805-1868	22149114	22149114	0.9655172413793104	Stifter, Adalbert, 1805-1868			Person		http://example.org/1015913#Agent600-20
Šiktanc, Karel, 1928-	36975712	36975712	1.0	Šiktanc, Karel, 1928-			Person		http://example.org/1095797#Agent100-10
Kenton, Warren	45594936	45594936	1.0	Kenton, Warren			Person		http://example.org/1061100#Agent100-11
Kraszewski, Józef Ignacy, 1812-1887	302589951	302589951	0.9722222222222222	Kraszewski, Józef Ignacy, 1812-1887			Person		http://example.org/1097224#Agent100-10
John III Sobieski, King of Poland, 1629-1696	1147017007720032217	1147017007720032217	1.0	John III Sobieski, King of Poland, 1629-1696			Person		http://example.org/1097224#Agent600-18
Andrews, Keith	46845577	46845577	1.0	Andrews, Keith			Person		http://example.org/1085706#Agent100-13
Elsheimer, Adam, 1578-1610	32114360	32114360	1.0	Elsheimer, Adam, 1578-1610			Person		http://example.org/1085706#Agent600-22
Folliet, Joseph	19689221	19689221	1.0	Folliet, Joseph			Person		http://example.org/1029539#Agent100-9
Sidelecki, Adam Grzymała, 1876-1967				Sidelecki, Adam Grzymała, 1876-1967			Person		http://example.org/1012899#Agent600-17
Okońska, Alicja	23466668	23466668	1.0	Okońska, Alicja			Person		http://example.org/1012899#Agent700-18
Grzymała-Siedlecki, Adam, 1876-1967	76356651	76356651	1.0	Grzymała-Siedlecki, Adam, 1876-1967			Person		http://example.org/1012899#Agent700-19
Unesco		139500314	;	Unesco	139500314	0.8571428571428571	Organization		http://example.org/1096474#Agent110-10
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1096474#Agent600-18
Polska Akademia Nauk. Międzynarodowa Sesja Naukowa				Polska Akademia Nauk. Międzynarodowa Sesja Naukowa			Organization		http://example.org/1096485#Agent110-10
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1096485#Agent600-18
Pawłowska, Jadwiga Rużyło			;	Pawłowska, Jadwiga Rużyło			Person		http://example.org/1096485#Agent700-19
Wyka, Kazimierz	56625079	56625079	1.0	Wyka, Kazimierz			Person		http://example.org/1096485#Agent700-20
Polska Akademia Nauk. Komisja Naukowa Obchodu Roku Mickiewica				Polska Akademia Nauk. Komisja Naukowa Obchodu Roku Mickiewica			Organization		http://example.org/1096485#Agent710-21
Kolodziej, Léon	165802488	165802488	0.8125	Kolodziej, Léon			Person		http://example.org/1096484#Agent100-10
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1096484#Agent600-18
Szpotański, Stanisław, 1880-1936	52057940	52057940	1.0	Szpotański, Stanisław, 1880-1936			Person		http://example.org/1096473#Agent100-10
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1096473#Agent600-18
Lednicki, Wacław, 1891-1967	72637826	72637826	1.0	Lednicki, Wacław, 1891-1967			Person		http://example.org/1097336#Agent100-11
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1097336#Agent600-19
Kridl, Manfred, 1882-1957	19727649	19727649	1.0	Kridl, Manfred, 1882-1957			Person		http://example.org/1097335#Agent100-12
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1097335#Agent700-23
Scheps, Samuel	61655158	61655158	1.0	Scheps, Samuel			Person		http://example.org/1096486#Agent100-10
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1096486#Agent600-18
Kridl, Manfred, 1882-1957	19727649	19727649	1.0	Kridl, Manfred, 1882-1957			Person		http://example.org/1097331#Agent100-10
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1097331#Agent600-18
Kolodziej, Léon	165802488	165802488	0.8125	Kolodziej, Léon			Person		http://example.org/1097334#Agent100-15
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1097334#Agent600-25
Windakiewicz, Stanisław, 1863-1943	12375281	12375281	1.0	Windakiewicz, Stanisław, 1863-1943			Person		http://example.org/1096480#Agent100-9
Jastrun, Mieczysław, 1903-1983	66482806	66482806	1.0	Jastrun, Mieczysław, 1903-1983			Person		http://example.org/1097325#Agent100-11
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1097325#Agent600-19
Sovetov, S. S. (Sergeĭ Sergeevich)	119161809	119161809	1.0	Sovetov, S. S. (Sergeĭ Sergeevich)			Person		http://example.org/1096471#Agent100-10
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1096471#Agent600-19
Verves, H. D., 1920-	97099647	97099647	1.0	Verves, H. D., 1920-			Person		http://example.org/1096475#Agent100-11
Mickiewicz, Adam, 1798-1855	64009368	64009368	0.9642857142857143	Mickiewicz, Adam, 1798-1855			Person		http://example.org/1096475#Agent600-20
Müller, Adam Heinrich, Ritter von Mitterdorf, 1779-1829				Müller, Adam Heinrich, Ritter von Mitterdorf, 1779-1829			Person		http://example.org/1040792#Agent100-10
Behzad, Faramarz	57558720	57558720	1.0	Behzad, Faramarz			Person		http://example.org/1041618#Agent100-9
Olearius, Adam, -1671	76442802	76442802	0.8076923076923077	Olearius, Adam, -1671			Person		http://example.org/1041618#Agent600-18
Saʻdī	100206721	100206721	1.0	Saʻdī			Person		http://example.org/1041618#Agent600-19
Reisman, David A	156146998596718942778	156146998596718942778	0.9411764705882353	Reisman, David A			Person		http://example.org/109591#Agent100-14
Smith, Adam, 1723-1790	49231791	49231791	0.9565217391304348	Smith, Adam, 1723-1790			Person		http://example.org/109591#Agent600-22
Kunama, Yar				Kunama, Yar			Person		http://example.org/1000435#Agent100-9
Röhrich, Lutz	109399774	109399774	1.0	Röhrich, Lutz			Person		http://example.org/1080845#Agent100-11
Adam (Biblical figure)	308180317	308180317	0.9565217391304348	Adam (Biblical figure)			Person		http://example.org/1080845#Agent600-20
Eve (Biblical figure)	30876049	30876049	1.0	Eve (Biblical figure)			Person		http://example.org/1080845#Agent600-21
Smith, Bradford, 1909-1964	25529366	25529366	1.0	Smith, Bradford, 1909-1964			Person		http://example.org/1044366#Agent100-11
Yeselson, Abraham, 1921-	41183146	41183146	1.0	Yeselson, Abraham, 1921-			Person		http://example.org/1027294#Agent100-11
United Nations		144904638	;	United Nations	144904638	0.9333333333333333	Organization		http://example.org/1027294#Agent610-19
Gaglione, Anthony, 1934- 	68270982	68270982	0.8571428571428571	Gaglione, Anthony, 1934- 			Person		http://example.org/1027294#Agent700-20
Karlsson, Georg, 1917-	119206158	119206158	1.0	Karlsson, Georg, 1917-			Person		http://example.org/1029648#Agent100-10
Mort, Paul R., 1894-	58654565	58654565	1.0	Mort, Paul R., 1894-			Person		http://example.org/1067080#Agent100-10
Cornell, Francis G. (Francis Griffith), 1906-	92967196	92967196	1.0	Cornell, Francis G. (Francis Griffith), 1906- 			Person		http://example.org/1067080#Agent700-20
International Labour Office			;	International Labour Office			Organization		http://example.org/1002880#Agent110-13
Warner, Dorothy Dunstedter				Warner, Dorothy Dunstedter			Person		http://example.org/1087972#Agent100-13
Conference on Bay Area Regional Organization, University of California, Berkeley, 1970				Conference on Bay Area Regional Organization, University of California, Berkeley, 1970			Meeting		http://example.org/1052088#Agent111-14
Scott, Stanley, 1921-2002	28354705	28354705	1.0	Scott, Stanley, 1921-2002			Person		http://example.org/1052088#Agent700-23
Nathan, Harriet	43214184	43214184	1.0	Nathan, Harriet			Person		http://example.org/1052088#Agent700-24
University of California, Berkeley. Institute of Governmental Studies		158070260	;	University of California, Berkeley. Institute of Governmental Studies	158070260	0.9857142857142858	Organization		http://example.org/1052088#Agent710-25
National Society for the Study of Education. Committee on Adapting the Secondary-School Program to the Needs of Youth		150388992		National Society for the Study of Education. Committee on Adapting the Secondary-School Program to the Needs of Youth	150388992	1.0	Organization		http://example.org/1063658#Agent110-11
Henry, Nelson B. (Nelson Bollinger), 1883-	107313806	107313806	1.0	Henry, Nelson B. (Nelson Bollinger), 1883- 			Person		http://example.org/1063658#Agent700-20
Current Issues Conference. 3d, Portland, Or., 1974				Current Issues Conference. 3d, Portland, Or., 1974			Meeting		http://example.org/1067228#Agent111-11
Rich, Stuart U	18469101	18469101	0.9333333333333333	Rich, Stuart U			Person		http://example.org/1067228#Agent700-23
Rothney, John Watson Murray	25740583	25740583	0.9642857142857143	Rothney, John Watson Murray			Person		http://example.org/1061001#Agent100-14
Prescott, Peter S	22448479	22448479	0.9444444444444444	Prescott, Peter S			Person		http://example.org/1032421#Agent100-11
Prescott, Peter S	22448479	22448479	0.9444444444444444	Prescott, Peter S			Person		http://example.org/1032421#Agent600-19
Matsuo, Bashō, 1644-1694	12304628	12304628	1.0	Matsuo, Bashō, 1644-1694			Person		http://example.org/106204#Agent100-10
Caudill, Harry M., 1922-1990	18468180	18468180	1.0	Caudill, Harry M., 1922-1990			Person		http://example.org/108543#Agent100-12
Hearle, Edward F. R	7071421	7071421	0.95	Hearle, Edward F. R			Person		http://example.org/1046725#Agent100-11
Mason, Raymond J	2147467	2147467	0.9411764705882353	Mason, Raymond J			Person		http://example.org/1046725#Agent700-20
Hooker, M. B	279217401	279217401	1.0	Hooker, M. B			Person		http://example.org/1019183#Agent100-11
Györffyné Mottl, Mária				Györffyné Mottl, Mária			Person		http://example.org/1069238#Agent100-11
Kraszewski, Józef Ignacy, 1812-1887	302589951	302589951	0.9722222222222222	Kraszewski, Józef Ignacy, 1812-1887			Person		http://example.org/1097226#Agent100-10
Bender, Albert M. (Albert Maurice), 1866-1941	77676876	77676876	1.0	Bender, Albert M. (Albert Maurice), 1866-1941			Person		http://example.org/1020467#Agent600-19
Bender, Albert M. (Albert Maurice), 1866-1941	77676876	77676876	1.0	Bender, Albert M. (Albert Maurice), 1866-1941			Person		http://example.org/1020227#Agent700-17
Peck, Robert Newton	305093654	305093654	1.0	Peck, Robert Newton			Person		http://example.org/1065905#Agent100-11
Shakers		147501939	;	Shakers	147501939	1.0	Organization		http://example.org/1065905#Agent610-19
Topping, Audrey	77540739	77540739	1.0	Topping, Audrey			Person		http://example.org/1037651#Agent100-13
Parkinson, Roger	49306819	49306819	1.0	Parkinson, Roger			Person		http://example.org/1075158#Agent100-15
Venkataramani, Kaneripatna Sidhanatha, 1891-				Venkataramani, Kaneripatna Sidhanatha, 1891-			Person		http://example.org/1036978#Agent100-9
Quicherat, L. (Louis), 1799-1884	301043376	301043376	1.0	Quicherat, L. (Louis), 1799-1884			Person		http://example.org/1021346#Agent100-9
Bejerot, Nils	24624936	24624936	1.0	Bejerot, Nils			Person		http://example.org/1035227#Agent100-16
Lindesmith, Alfred Ray, 1905-1991	108496005	108496005	1.0	Lindesmith, Alfred Ray, 1905-1991			Person		http://example.org/105713#Agent100-13
Bourne, Peter G., 1939-	39532212	39532212	1.0	Bourne, Peter G., 1939-			Person		http://example.org/1054768#Agent100-13
Straus, Nathan, 1916- 				Straus, Nathan, 1916- 			Person		http://example.org/1034774#Agent700-25
Willis, James H. (James Herbert), 1928-	60095049	60095049	1.0	Willis, James H. (James Herbert), 1928-			Person		http://example.org/1035265#Agent100-15
Olson, Charles, 1910-1970	27091190	27091190	0.9615384615384616	Olson, Charles, 1910-1970			Person		http://example.org/1061731#Agent100-11
Butterick, George F	109397621	109397621	0.95	Butterick, George F			Person		http://example.org/1061731#Agent700-20
Liu, Shaoqi, 1898-1969	22167823	22167823	1.0	Liu, Shaoqi, 1898-1969			Person		http://example.org/1051953#Agent100-12
Zhongguo gong chan dang		132098431	;	Zhongguo gong chan dang	132098431	1.0	Organization		http://example.org/1051953#Agent610-21
Dryden, John F. (John Fairfield), 1839-1911	10222828	10222828	1.0	Dryden, John F. (John Fairfield), 1839-1911			Person		http://example.org/1021565#Agent100-11
Hamilton, Alexander, 1757-1804	66496514	66496514	0.967741935483871	Hamilton, Alexander, 1757-1804			Person		http://example.org/1021565#Agent600-19
Lincoln, Abraham, 1809-1865	76349832	76349832	0.9642857142857143	Lincoln, Abraham, 1809-1865			Person		http://example.org/1021565#Agent600-20
Junior College District of St. Louis--St. Louis County (Mo.) Midwest Technical Education Center				Junior College District of St. Louis--St. Louis County (Mo.) Midwest Technical Education Center			Organization		http://example.org/1070488#Agent710-21
American Association of Junior Colleges		131754591		American Association of Junior Colleges	131754591	0.9230769230769231	Organization		http://example.org/1070488#Agent710-22
Canadian Bar Association		139407847		Canadian Bar Association	139407847	1.0	Organization		http://example.org/107190#Agent710-18
Churchill, Winston, 1874-1965	94507588	94507588	0.9666666666666667	Churchill, Winston, 1874-1965			Person		http://example.org/1073947#Agent100-12
Gordon, Fannetta				Gordon, Fannetta			Person		http://example.org/1062694#Agent100-9
Carey, Mathew, 1760-1839	2526487	2526487	1.0	Carey, Mathew, 1760-1839			Person		http://example.org/1048618#Agent100-13
Tibbits, George, 1763-1849	242217289	242217289	1.0	Tibbits, George, 1763-1849			Person		http://example.org/1048618#Agent700-25
Philadelphia Society for the Promotion of National Industry		156013649		Philadelphia Society for the Promotion of National Industry	156013649	1.0	Organization		http://example.org/1048618#Agent710-26
Root, Elihu, 1845-1937	32065073	32065073	1.0	Root, Elihu, 1845-1937			Person		http://example.org/1044021#Agent100-11
New York (State)			;	New York (State)			Jurisdiction		http://example.org/1044021#Agent610-19
Scott, James Brown, 1866-1943	66530059	66530059	1.0	Scott, James Brown, 1866-1943			Person		http://example.org/1044021#Agent700-24
Bacon, Robert, 1860-1919	10192726	10192726	1.0	Bacon, Robert, 1860-1919			Person		http://example.org/1044021#Agent700-25
Root, Elihu, 1845-1937	32065073	32065073	1.0	Root, Elihu, 1845-1937			Person		http://example.org/1055357#Agent100-11
Lieber, Francis, 1800-1872	95285806	95285806	0.9629629629629629	Lieber, Francis, 1800-1872			Person		http://example.org/1055357#Agent600-19
Scott, James Brown, 1866-1943	66530059	66530059	1.0	Scott, James Brown, 1866-1943			Person		http://example.org/1055357#Agent700-22
Bacon, Robert, 1860-1919	10192726	10192726	1.0	Bacon, Robert, 1860-1919			Person		http://example.org/1055357#Agent700-23
Gifford, Walter Sherman, 1885-			;	Gifford, Walter Sherman, 1885-			Person		http://example.org/1008028#Agent100-11
American Telephone and Telegraph Company. Information dept		124637862		American Telephone and Telegraph Company. Information dept	124637862	0.890625	Organization		http://example.org/1008028#Agent710-21
Grimké, Thomas Smith, 1786-1834	74240571	74240571	0.9375	Grimké, Thomas Smith, 1786-1834			Person		http://example.org/1055123#Agent100-10
Indiana Yearly Meeting of Friends (Orthodox : 1828- )		144324053		Indiana Yearly Meeting of Friends (Orthodox : 1828- )	144324053	0.9464285714285714	Organization		http://example.org/1001114#Agent110-12
Coffin, Elijah, 1798-1862	65645453	65645453	1.0	Coffin, Elijah, 1798-1862			Person		http://example.org/1001114#Agent700-23
Northwest Territories Executive Council		154711628		Northwest Territories Executive Council	154711628	0.975	Jurisdiction		http://example.org/1061193#Agent110-12
Gibson, John Monro, 1838-1921	23665585	23665585	1.0	Gibson, John Monro, 1838-1921			Person		http://example.org/1041565#Agent100-11
Presbyterian Church in England		129605580	;	Presbyterian Church in England	129605580	0.9333333333333333	Organization		http://example.org/1041565#Agent610-21
Lewis, Oscar, 1914-1970	108316448	108316448	1.0	Lewis, Oscar, 1914-1970			Person		http://example.org/1029587#Agent100-13
Thomas, Lately	8806305	8806305	1.0	Thomas, Lately			Person		http://example.org/1053964#Agent100-11
Ruef, Abraham, 1864-1936	78828320	78828320	1.0	Ruef, Abraham, 1864-1936			Person		http://example.org/1053964#Agent600-20
Sands, Anne W				Sands, Anne W			Person		http://example.org/1054130#Agent100-10
Engineering and Research Center (U.S.)			;	Engineering and Research Center (U.S.)			Organization		http://example.org/1054130#Agent710-23
Hines, N. William (Norman William)	271598359	271598359	1.0	Hines, N. William (Norman William)			Person		http://example.org/106737#Agent100-11
University of Iowa. Agricultural Law Center		136091953		University of Iowa. Agricultural Law Center	136091953	1.0	Jurisdiction		http://example.org/106737#Agent810-21
Broderick, Carlfred Bartholomew	79099121	79099121	1.0	Broderick, Carlfred Bartholomew			Person		http://example.org/103317#Agent700-21
International Council on Health, Physical Education, and Recreation		147219283		International Council on Health, Physical Education, and Recreation	147219283	1.0	Organization		http://example.org/1010616#Agent110-10
International Council on Health, Physical Education, and Recreation		147219283		International Council on Health, Physical Education, and Recreation	147219283	1.0	Organization		http://example.org/1010616#Agent610-18
Douglas, Tom			;	Douglas, Tom			Person		http://example.org/1022934#Agent100-13
Bohrod, Aaron	47563942	47563942	1.0	Bohrod, Aaron			Person		http://example.org/1085159#Agent100-10
Selman, Gordon R., 1927-	35635379	35635379	1.0	Selman, Gordon R., 1927-			Person		http://example.org/101713#Agent100-11
University of British Columbia. Department of University Extension		134689986		University of British Columbia. Department of University Extension	134689986	1.0	Organization		http://example.org/101713#Agent610-20
Smallwood, Richard D	306197311	306197311	0.9523809523809523	Smallwood, Richard D			Person		http://example.org/1059887#Agent100-10
Livingstone, Richard Winn, 1880-	8667678	8667678	0.8888888888888888	Livingstone, Richard Winn, 1880-			Person		http://example.org/1071416#Agent100-10
Settle, Elkanah, 1648-1724	2480468	2480468	1.0	Settle, Elkanah, 1648-1724			Person		http://example.org/1058331#Agent100-11
Collier, Jeremy, 1650-1726	8269751	8269751	1.0	Collier, Jeremy, 1650-1726			Person		http://example.org/1058331#Agent600-22
Settle, Elkanah, 1648-1724	2480468	2480468	1.0	Settle, Elkanah, 1648-1724			Person		http://example.org/1058331#Agent700-26
Filmer, Edward, approximately 1657-	53062781	53062781	1.0	Filmer, Edward, approximately 1657-			Person		http://example.org/1058331#Agent700-27
Rymer, Thomas, 1641-1713	1146634308841930849	1146634308841930849	1.0	Rymer, Thomas, 1641-1713			Person		http://example.org/1058331#Agent700-28
Languet, Hubert, 1518-1581	8358	8358	0.9629629629629629	Languet, Hubert, 1518-1581			Person		http://example.org/1040561#Agent100-10
Laski, Harold Joseph, 1893-1950	19746530	19746530	0.96875	Laski, Harold Joseph, 1893-1950			Person		http://example.org/1040561#Agent700-21
Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623	95235826	95235826	1.0	Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623			Person		http://example.org/1040561#Agent700-22
Kenrick, W. (William), 1725?-1779	18469089	18469089	1.0	Kenrick, W. (William), 1725?-1779			Person		http://example.org/1021117#Agent100-11
Johnson, Samuel, 1709-1784	7406725	7406725	0.9629629629629629	Johnson, Samuel, 1709-1784			Person		http://example.org/1021117#Agent600-19
