Examinations	940
Periodicals.	484
Environmental aspects	433
Study and teaching (Secondary)	423
Study and teaching	367
Curricula	343
Law and legislation	309
Questions.	266
Government policy	246
Research	226
PÃ©riodiques.	220
Management.	191
Services for	184
Examens	163
Standards	158
Planning.	150
Pollution	139
Finance	137
Economic aspects	134
Evaluation.	127
Monitoring.	120
Examinations.	120
Ãtude et enseignement	118
Control	115
Finance.	109
Prevention.	108
Statistics	107
Measurement.	100
Education	96
Monitoring	96
Study and teaching (Elementary)	94
Study and teaching.	87
Examens.	77
Citizen participation.	76
Environmental aspects.	75
Prevention	73
Employees	71
Directories.	70
Cases.	69
Costs	67
Testing.	66
Substance use	64
Aims and objectives.	59
Training of	55
Curricula.	53
Accidents	53
Legal status, laws, etc.	53
Ãtude et enseignement (Primaire)	53
Accounting	48
Employment	48
Prices	47
Supply and demand	47
Costs.	46
Computer simulation.	46
Societies, etc.	45
Public opinion.	44
Social life and customs	39
History.	38
Management	38
Taxation	37
Forecasting.	36
Waste disposal	34
Standards.	34
Certification	32
Bilingual method.	32
Measurement	31
Treatment	31
Custom rates	30
Analysis.	30
History	30
Wounds and injuries	30
Rates	28
Evaluation	28
Vocational guidance	28
Reserves.	27
Diseases	27
Transportation	26
Design and construction.	26
Habitat	26
Programmes d'Ã©tudes.	26
Processing	25
Social aspects	25
Maintenance and repair	23
Safety measures.	23
Mathematical models.	23
Politique gouvernementale	22
Data processing.	22
Physiological effect.	21
Waste disposal.	21
Accreditation	21
Rating of	21
Toxicology.	20
Planning	19
In-service training	19
Allophones.	19
Habitat.	19
Breeding	18
Ãtude et enseignement (Secondaire)	18
Research.	18
Blowouts	18
Treatment.	17
Geology	17
Control.	16
Population	16
Vocational guidance.	16
Foreign speakers	16
Equipment and supplies.	16
Storage	16
Computer programs.	16
Audio-visual aids	16
Economic aspects.	15
Analysis	15
Transportation.	15
Ãducation	15
Maintenance and repair.	15
Effect of habitat modification on.	15
Attitudes.	15
Dwellings	15
Marketing.	15
Conservation and restoration.	14
Education.	14
Information services	14
Parasites.	14
Aims and objectives	14
Forecasting	14
Questions	14
prevention & control.	13
Sampling	13
Ability testing.	13
Foreign speakers.	13
Energy conservation.	13
Study and teaching (Secondary).	13
Computer network resources.	13
Heating and ventilation.	13
therapy	13
Design and construction	12
Antiquities.	12
Production	12
Language arts grade 9.	12
Planification	12
Pure mathematics grade 10, 11, 12.	12
