Column 1	LC-ID	match-ID	score	VIAF-C	VIAF-IDC	score-c	org	Column 3	Column 4	blank
Coser, Rose Laub, 1916-	97748863	97748863	0.8518518519	Coser, Rose Laub, 1916-			Person		http://example.org/1072168#Agent700-23	
Townsend, Peter, 1928-2009.	108554937	108554937	0.962962963	Townsend, Peter, 1928-2009.			Person		http://example.org/1035136#Agent100-13	
Butler, Nicholas Murray, 1862-1947.	17333392	17333392	0.9714285714	Butler, Nicholas Murray, 1862-1947.			Person		http://example.org/1043072#Agent100-11	
Carver, John N.				Carver, John N.			Person		http://example.org/1033509#Agent100-13	
Carver, Nellie Enders,				Carver, Nellie Enders,			Person		http://example.org/1033509#Agent700-25	
Stern, Bernhard Joseph, 1894-1956,	64377134	64377134	0.9705882353	Stern, Bernhard Joseph, 1894-1956,			Person		http://example.org/1030635#Agent100-12	
American Education Fellowship. Commission on human relations.				American Education Fellowship. Commission on human relations.			Organization		http://example.org/1030635#Agent710-22	
Moss, Rose.	49456090	49456090	0.9090909091	Moss, Rose.			Person		http://example.org/1033805#Agent100-11	
Kephart, William M.	10003083	10003083	1	Kephart, William M.			Person		http://example.org/1028925#Agent100-15	
Kephart, William M.	10003083	10003083	1	Kephart, William M.			Person		http://example.org/1028931#Agent100-12	
Reiss, Ira L.	109302576	109302576	1	Reiss, Ira L.			Person		http://example.org/1029548#Agent100-16	
Burgess, E. W. (Ernest Watson), 1886-1966.	61599251	61599251	0.8095238095	Burgess, E. W. (Ernest Watson), 1886-1966.			Person		http://example.org/1029731#Agent100-10	
Locke, Harvey J. (Harvey James), 1900-2000,				Locke, Harvey J. (Harvey James), 1900-2000,			Person		http://example.org/1029731#Agent700-20	
Blood, Robert O.	40615174	40615174	1	Blood, Robert O.			Person		http://example.org/1029719#Agent100-18	
Urell, Catherine.				Urell, Catherine.			Person		http://example.org/1073235#Agent100-11	
Herodotus.	100225976	100225976	0.9	Herodotus.			Person		http://example.org/1090490#Agent100-11	
Rich, Barnabe, 1540?-1617,	196526184	196526184	0.9615384615	Rich, Barnabe, 1540?-1617,			Person		http://example.org/1090490#Agent700-21	
R. B.,				R. B.,			Person		http://example.org/1090490#Agent700-22	
B. R.,				B. R.,			Person		http://example.org/1090490#Agent700-23	
Wallace, Irving, 1916-1990.	49232921	49232921	1	Wallace, Irving, 1916-1990.			Person		http://example.org/1041677#Agent100-11	
Hogan, Robert Goode, 1930-	44307444	44307444	1	Hogan, Robert Goode, 1930-			Person		http://example.org/1064463#Agent100-10	
Kotzwinkle, William.	305571436	305571436	0.95	Kotzwinkle, William.			Person		http://example.org/1037332#Agent100-12	
Frazetta, Frank.	309833955	309833955	0.8	Frazetta, Frank.			Person		http://example.org/105990#Agent100-11	
Frazetta, Frank.	309833955	309833955	0.8	Frazetta, Frank.			Person		http://example.org/105990#Agent600-19	
Dietterlin, Wendel, 1550?-1599?	39650687	39650687	1	Dietterlin, Wendel, 1550?-1599?			Person		http://example.org/102776#Agent100-9	
Larkin, David, 1936-	315072772	315072772	1	Larkin, David, 1936-			Person		http://example.org/1079067#Agent100-10	
Maloney, Margaret.	284088912	284088912	1	Maloney, Margaret.			Person		http://example.org/1079067#Agent700-21	
Clark, Janet, pseud.				Clark, Janet, pseud.			Person		http://example.org/1035236#Agent100-10	
Hughes, Helen MacGill, 1903-1992,	75721	75721	0.8484848485	Hughes, Helen MacGill, 1903-1992,			Person		http://example.org/1035236#Agent700-19	
Barnouw, Adriaan Jacob, 1877-1968.	41969761	41969761	0.9705882353	Barnouw, Adriaan Jacob, 1877-1968.			Person		http://example.org/1086337#Agent100-10	
Bruegel, Pieter, approximately 1525-1569.				Bruegel, Pieter, approximately 1525-1569.			Person		http://example.org/1086337#Agent600-19	
Ho, Alfred Kuo-liang, 1919-	110812873	110812873	0.8709677419	Ho, Alfred Kuo-liang, 1919-			Person		http://example.org/1009656#Agent100-12	
Long, Robert Emmet.	27080303	27080303	1	Long, Robert Emmet.			Person		http://example.org/1001317#Agent700-25	
Nyanteng, V. K.	109858049	109858049	1	Nyanteng, V. K.			Person		http://example.org/1079945#Agent100-11	
Apeldoorn, G. Jan van,	20968636	20968636	0.9545454545	Apeldoorn, G. Jan van,			Person		http://example.org/1079945#Agent700-24	
Gates, Paul W. (Paul Wallace), 1901-1999.				Gates, Paul W. (Paul Wallace), 1901-1999.			Person		http://example.org/1021994#Agent100-14	
Shannon, Fred A. (Fred Albert), 1893-1963.				Shannon, Fred A. (Fred Albert), 1893-1963.			Person		http://example.org/1021997#Agent100-13	
Canadian Council of Agriculture.				Canadian Council of Agriculture.			Organization		http://example.org/1026217#Agent110-10	
Kellogg, Amos M. (Amos Markham), 1832-1914.	43235319	43235319	0.976744186	Kellogg, Amos M. (Amos Markham), 1832-1914.			Person		http://example.org/1026044#Agent100-9	
Kellogg, Amos M. (Amos Markham), 1832-1914.	43235319	43235319	0.976744186	Kellogg, Amos M. (Amos Markham), 1832-1914.			Person		http://example.org/1026044#Agent700-18	
Peffer, William Alfred, 1831-1912.	16403804	16403804	0.9705882353	Peffer, William Alfred, 1831-1912.			Person		http://example.org/107865#Agent100-13	
Kirkpatrick, E. L. (Ellis Lore), 1884-	117501415	117501415	1	Kirkpatrick, E. L. (Ellis Lore), 1884-			Person		http://example.org/1000930#Agent100-11	
Childs, Marquis W. (Marquis William), 1903-1990.	47500839	47500839	0.9791666667	Childs, Marquis W. (Marquis William), 1903-1990.			Person		http://example.org/1004616#Agent100-11	
Sigmundr Brestisson, -1002.	4.81455418289966E+019	4.81455418289966E+019	0.962962963	Sigmundr Brestisson, -1002.			Person		http://example.org/1017080#Agent600-21	
Thrándr Thorbjarnarson, 10th century.				Thrándr Thorbjarnarson, 10th century.			Person		http://example.org/1017080#Agent600-22	
Young, G. V. C. (George Vaughan Chichester), 1921-	51699238	51699238	1	Young, G. V. C. (George Vaughan Chichester), 1921-			Person		http://example.org/1017080#Agent700-24	
Clewer, Cynthia R.	256022893	256022893	1	Clewer, Cynthia R.			Person		http://example.org/1017080#Agent700-25	
Robinson, Lennox, 1886-1958.	24846428	24846428	0.9642857143	Robinson, Lennox, 1886-1958.			Person		http://example.org/1039746#Agent100-10	
Perry, John Weir.	9851835	9851835	1	Perry, John Weir.			Person		http://example.org/1031859#Agent100-15	
Thayer, George, 1933-	37005801	37005801	0.84	Thayer, George, 1933-			Person		http://example.org/1045698#Agent100-12	
Koenig, Allen E.	73397599	73397599	1	Koenig, Allen E.			Person		http://example.org/1062082#Agent100-11	
Hill, Ruane B.,	75860547	75860547	0.9333333333	Hill, Ruane B.,			Person		http://example.org/1062082#Agent700-21	
Hauser, Gwen.	25971407	25971407	0.9230769231	Hauser, Gwen.			Person		http://example.org/103480#Agent100-9	
Ashton, E. B., 1909-				Ashton, E. B., 1909-			Person		http://example.org/1042330#Agent100-10	
Gregor, A. James (Anthony James), 1929-	107740767	107740767	1	Gregor, A. James (Anthony James), 1929-			Person		http://example.org/1033530#Agent100-13	
Cumberland, Richard, 1732-1811.	76451457	76451457	1	Cumberland, Richard, 1732-1811.			Person		http://example.org/1011050#Agent100-9	
Davison, Gideon M. (Gideon Miner), 1791-1869.	35570647	35570647	0.8222222222	Davison, Gideon M. (Gideon Miner), 1791-1869.			Person		http://example.org/101338#Agent100-11	
Eskenazi, Gerald.	13459970	13459970	1	Eskenazi, Gerald.			Person		http://example.org/1058423#Agent100-11	
Rajagopalachari, C. (Chakravarti), 1878-1972.	57485	57485	0.9777777778	Rajagopalachari, C. (Chakravarti), 1878-1972.			Person		http://example.org/1055791#Agent100-11	
Weare, William, -1823.	8861743	8861743	0.9545454545	Weare, William, -1823.			Person		http://example.org/1035360#Agent600-18	
Thurtell, John, 1794-1824,	30724953	30724953	0.9615384615	Thurtell, John, 1794-1824,			Person		http://example.org/1035360#Agent600-19	
Robert, William, d 1825.				Robert, William, d 1825.			Person		http://example.org/1035360#Agent600-20	
Hunt, Joseph, active 1859.				Hunt, Joseph, active 1859.			Person		http://example.org/1035360#Agent600-21	
Smith, Albert Brewster, 1930-	305123981	305123981	1	Smith, Albert Brewster, 1930-			Person		http://example.org/1051441#Agent100-11	
Glassco, John, 1909-1981.	69729715	69729715	0.96	Glassco, John, 1909-1981.			Person		http://example.org/1074277#Agent100-21	
Carson, Clarence Buford.	77553255	77553255	0.9583333333	Carson, Clarence Buford.			Person		http://example.org/1026127#Agent100-11	
Southerne, Thomas, 1660-1746.	64038088	64038088	0.9655172414	Southerne, Thomas, 1660-1746.			Person		http://example.org/1012094#Agent100-10	
Hirtz, Jean L.	54148980	54148980	1	Hirtz, Jean L.			Person		http://example.org/1054347#Agent700-22	
Société française des sciences et techniques pharmaceutiques.		137977539		Société française des sciences et techniques pharmaceutiques.	137977539	0.9836065574	Organization		http://example.org/1054347#Agent710-23	
Goodman, Elliot Raymond, 1923-.				Goodman, Elliot Raymond, 1923-.			Person		http://example.org/106058#Agent100-13	
Atlantic Council of the United States.		153354060		Atlantic Council of the United States.	153354060	0.9473684211	Organization		http://example.org/106058#Agent710-25	
Brooks, John, 1920-1993.	62709532	62709532	0.9583333333	Brooks, John, 1920-1993.			Person		http://example.org/1010612#Agent100-11	
Godfrey, E. Drexel (Edwin Drexel), 1921-1981.				Godfrey, E. Drexel (Edwin Drexel), 1921-1981.			Person		http://example.org/1039478#Agent100-11	
Barry, James P.				Barry, James P.			Person		http://example.org/1021529#Agent100-14	
Mcfarlane, Myra.	92160960	92160960	0.9375	Mcfarlane, Myra.			Person		http://example.org/1072666#Agent100-9	
Turnbull, Priscilla F.	24388980	24388980	1	Turnbull, Priscilla F.			Person		http://example.org/1074645#Agent100-11	
Reed, Charles A.,	1487359	1487359	0.9411764706	Reed, Charles A.,			Person		http://example.org/1074645#Agent700-27	
Crespelle, Jean Paul.	9845027	9845027	0.9523809524	Crespelle, Jean Paul.			Person		http://example.org/1086525#Agent100-11	
Scott, James, 1733-1814.	27921991	27921991	0.9583333333	Scott, James, 1733-1814.			Person		http://example.org/1011182#Agent700-18	
Jonson, Ben, 1573?-1637.	292789691	292789691	0.9583333333	Jonson, Ben, 1573?-1637.			Person		http://example.org/1011182#Agent700-19	
Whitehead, Don, 1908-1981.	109342832	109342832	0.8076923077	Whitehead, Don, 1908-1981.			Person		http://example.org/1035560#Agent100-13	
United States. Federal Bureau of Investigation.	315683652	136624868	0.8363636364	United States. Federal Bureau of Investigation.	136624868	0.9787234043	Jurisdiction		http://example.org/1035560#Agent610-21	
Moorhouse, Geoffrey, 1931-2009.	110857070	110857070	0.9677419355	Moorhouse, Geoffrey, 1931-2009.			Person		http://example.org/1033157#Agent100-12	
Moorhouse, Geoffrey, 1931-2009.	110857070	110857070	0.9677419355	Moorhouse, Geoffrey, 1931-2009.			Person		http://example.org/1033157#Agent600-20	
Davis, David Brion,	317286318	317286318	0.9473684211	Davis, David Brion,			Person		http://example.org/1027385#Agent100-13	
Biddle, Francis, 1886-1968.	41927620	41927620	0.962962963	Biddle, Francis, 1886-1968.			Person		http://example.org/1041854#Agent100-11	
Oboler, Eli M.	70088118	70088118	1	Oboler, Eli M.			Person		http://example.org/1030981#Agent100-14	
Fish, David G.				Fish, David G.			Person		http://example.org/1032100#Agent100-9	
Canada. Committee on Community Health Centre Project		151192471		Canada. Committee on Community Health Centre Project	151192471	1	Jurisdiction		http://example.org/1032100#Agent810-21	
Aggarwal, Usha R.				Aggarwal, Usha R.			Person		http://example.org/1053469#Agent100-9	
Ellwood, Robert S., 1933-	39421748	39421748	0.8620689655	Ellwood, Robert S., 1933-			Person		http://example.org/1005238#Agent100-11	
Montour, Enos T., 1899-.				Montour, Enos T., 1899-.			Person		http://example.org/1038256#Agent100-11	
United Church of Canada. Division of Communication.		147663880		United Church of Canada. Division of Communication.	147663880	0.9803921569	Organization		http://example.org/1038256#Agent710-22	
Thorelli, Hans Birger, 1921-	37765037	37765037	0.875	Thorelli, Hans Birger, 1921-			Person		http://example.org/109017#Agent100-10	
Solberg, Winton U., 1922-	1409681	1409681	0.8620689655	Solberg, Winton U., 1922-			Person		http://example.org/1043729#Agent100-12	
Madison, James, 1751-1836.	59096754	59096754	1	Madison, James, 1751-1836.			Person		http://example.org/1043729#Agent700-23	
United States. Constitutional Convention (1787)		155934344		United States. Constitutional Convention (1787)	155934344	1	Jurisdiction		http://example.org/1043729#Agent710-24	
Hart, Henry Melvin,	23424315	23424315	0.8636363636	Hart, Henry Melvin,			Person		http://example.org/1045094#Agent100-12	
Wechsler, Herbert, 1909-2000,	162459164	162459164	0.8275862069	Wechsler, Herbert, 1909-2000,			Person		http://example.org/1045094#Agent700-23	
Croteau, John Tougas, 1910-				Croteau, John Tougas, 1910-			Person		http://example.org/1018475#Agent100-11	
Abbott, Charles Cortez, 1906-1986.	113095698	113095698	0.9705882353	Abbott, Charles Cortez, 1906-1986.			Person		http://example.org/1022273#Agent100-11	
Twentieth Century Fund. Committee on the Federal Debt.		140096220		Twentieth Century Fund. Committee on the Federal Debt.	140096220	0.9814814815	Organization		http://example.org/1022273#Agent710-20	
Hamovitch, William,	40615334	40615334	0.9473684211	Hamovitch, William,			Person		http://example.org/1020652#Agent100-12	
Holt, W. Stull (William Stull), 1896-1981.	74229903	74229903	0.9761904762	Holt, W. Stull (William Stull), 1896-1981.			Person		http://example.org/1018096#Agent100-11	
United States. Federal Farm Loan Bureau.		139580934		United States. Federal Farm Loan Bureau.	139580934	0.975	Jurisdiction		http://example.org/1018096#Agent610-19	
Wiprud, Arne Clarence, 1893-				Wiprud, Arne Clarence, 1893-			Person		http://example.org/1018106#Agent100-11	
United States.				United States.			Jurisdiction		http://example.org/1018106#Agent710-21	
Selko, Daniel T. (Daniel Theodore)	56199551	56199551	1	Selko, Daniel T. (Daniel Theodore)			Person		http://example.org/1019584#Agent100-11	
Board of Governors of the Federal Reserve System (U.S.)		152072915		Board of Governors of the Federal Reserve System (U.S.)	152072915	1	Organization		http://example.org/1018310#Agent110-11	
Connery, Robert Howe, 1907-1998.	39748395	39748395	0.875	Connery, Robert Howe, 1907-1998.			Person		http://example.org/1052791#Agent100-11	
Leach, Richard H.,	35700256	35700256	0.9444444444	Leach, Richard H.,			Person		http://example.org/1052791#Agent700-20	
Codding, George A. (George Arthur)	28056683	28056683	1	Codding, George A. (George Arthur)			Person		http://example.org/1050936#Agent100-16	
Rafkind, Israel.				Rafkind, Israel.			Person		http://example.org/1068947#Agent100-12	
American Council on Education. Commission on Federal Relations.		129029572		American Council on Education. Commission on Federal Relations.	129029572	0.9841269841	Organization		http://example.org/1068947#Agent710-23	
Boulder Dam Association.				Boulder Dam Association.			Organization		http://example.org/1014003#Agent110-10	
Boulder Canyon Project.				Boulder Canyon Project.			Organization		http://example.org/1014003#Agent610-18	
American Assembly.		157729070		American Assembly.	157729070	0.8888888889	Organization		http://example.org/1045500#Agent110-12	
Sayre, Wallace Stanley, 1905-1972,	62787578	62787578	0.9705882353	Sayre, Wallace Stanley, 1905-1972,			Person		http://example.org/1045500#Agent700-22	
Marvell, Thomas B., 1939-	51780957	51780957	1	Marvell, Thomas B., 1939-			Person		http://example.org/1018019#Agent100-12	
United States. Federal Home Loan Bank Board.		127269619		United States. Federal Home Loan Bank Board.	127269619	0.9772727273	Jurisdiction		http://example.org/1018019#Agent610-22	
Babbidge, Homer D.	23486304	23486304	1	Babbidge, Homer D.			Person		http://example.org/1055965#Agent100-12	
Rosenzweig, Robert M.,	43168872	43168872	0.9545454545	Rosenzweig, Robert M.,			Person		http://example.org/1055965#Agent700-22	
Benner, Claude Leon, 1892-				Benner, Claude Leon, 1892-			Person		http://example.org/1018079#Agent100-11	
Hamilton, Alexander, 1757-1804.	66496514	66496514	1	Hamilton, Alexander, 1757-1804.			Person		http://example.org/1043733#Agent700-20	
Madison, James, 1751-1836.	59096754	59096754	1	Madison, James, 1751-1836.			Person		http://example.org/1043733#Agent700-21	
Jay, John, 1745-1829.				Jay, John, 1745-1829.			Person		http://example.org/1043733#Agent700-22	
Hamilton, Alexander, 1757-1804.	66496514	66496514	1	Hamilton, Alexander, 1757-1804.			Person		http://example.org/1043735#Agent700-23	
Madison, James, 1751-1836.	59096754	59096754	1	Madison, James, 1751-1836.			Person		http://example.org/1043735#Agent700-24	
Jay, John, 1745-1829.				Jay, John, 1745-1829.			Person		http://example.org/1043735#Agent700-25	
Earle, Edward Mead, 1894-1954,	19982343	19982343	0.9666666667	Earle, Edward Mead, 1894-1954,			Person		http://example.org/1043735#Agent700-26	
Hamilton, Alexander, 1757-1804.	66496514	66496514	1	Hamilton, Alexander, 1757-1804.			Person		http://example.org/1043739#Agent700-21	
Madison, James, 1751-1836.	59096754	59096754	1	Madison, James, 1751-1836.			Person		http://example.org/1043739#Agent700-22	
Jay, John, 1745-1829.				Jay, John, 1745-1829.			Person		http://example.org/1043739#Agent700-23	
Beloff, Max Beloff, Baron, 1913-				Beloff, Max Beloff, Baron, 1913-			Person		http://example.org/1043739#Agent700-24	
Hamilton, Alexander, 1757-1804.	66496514	66496514	1	Hamilton, Alexander, 1757-1804.			Person		http://example.org/1043746#Agent700-31	
Rossiter, Clinton, 1917-1970.	59125759	59125759	0.9655172414	Rossiter, Clinton, 1917-1970.			Person		http://example.org/1043746#Agent700-32	
Hamilton, Alexander, 1757-1804.	66496514	66496514	1	Hamilton, Alexander, 1757-1804.			Person		http://example.org/1043743#Agent700-23	
Bontecou, Eleanor.	23676978	23676978	0.9444444444	Bontecou, Eleanor.			Person		http://example.org/1045568#Agent100-13	
United States. Federal Power Commission.		153025603		United States. Federal Power Commission.	153025603	0.975	Jurisdiction		http://example.org/101934#Agent610-21	
Practising Law Institute.		138321575		Practising Law Institute.	138321575	1	Organization		http://example.org/101934#Agent710-24	
New Democratic Party.		123862625		New Democratic Party.	123862625	0.9523809524	Organization		http://example.org/102450#Agent110-11	
New Democratic Party.		123862625		New Democratic Party.	123862625	0.9523809524	Organization		http://example.org/102450#Agent610-19	
Auerbach, Carl A. (Carl Abraham), 1915- ,				Auerbach, Carl A. (Carl Abraham), 1915- ,			Person		http://example.org/1006624#Agent100-11	
Nathanson, Nathaniel L.,	48800673	48800673	0.9583333333	Nathanson, Nathaniel L.,			Person		http://example.org/1006624#Agent700-22	
United States.				United States.			Jurisdiction		http://example.org/1006624#Agent710-23	
Laughlin, J. Laurence (James Laurence), 1850-1933.	72175645	72175645	0.98	Laughlin, J. Laurence (James Laurence), 1850-1933.			Person		http://example.org/1018335#Agent100-11	
United States. National Monetary Commission.		124333730		United States. National Monetary Commission.	124333730	0.9772727273	Jurisdiction		http://example.org/1018335#Agent610-19	
National Citizens League for the Promotion of a Sound Banking System.		145415270		National Citizens League for the Promotion of a Sound Banking System.	145415270	0.9855072464	Organization		http://example.org/1018335#Agent610-20	
Knipe, James Launcelot, 1904-	284705244	284705244	1	Knipe, James Launcelot, 1904-			Person		http://example.org/1018334#Agent100-11	
Board of Governors of the Federal Reserve System (U.S.)		152072915		Board of Governors of the Federal Reserve System (U.S.)	152072915	1	Organization		http://example.org/1018334#Agent610-19	
Board of Governors of the Federal Reserve System (U.S.)		152072915		Board of Governors of the Federal Reserve System (U.S.)	152072915	1	Organization		http://example.org/1016754#Agent110-11	
United States. Dept. of the Treasury.		123076976		United States. Dept. of the Treasury.	123076976	0.8292682927	Jurisdiction		http://example.org/1016754#Agent710-21	
Commission on Money and Credit.		136726184		Commission on Money and Credit.	136726184	1	Organization		http://example.org/1016754#Agent710-22	
Willis, Parker B. (Parker Brown), 1907-	11343662	11343662	1	Willis, Parker B. (Parker Brown), 1907-			Person		http://example.org/1017026#Agent100-11	
Federal Reserve Bank of San Francisco.		127287161		Federal Reserve Bank of San Francisco.	127287161	0.9210526316	Organization		http://example.org/1017026#Agent610-19	
Weyorth, William Oswald, 1889-				Weyorth, William Oswald, 1889-			Person		http://example.org/1018350#Agent100-11	
United States. Federal Reserve Board.				United States. Federal Reserve Board.			Jurisdiction		http://example.org/1018350#Agent610-19	
McKinney, George Wesley.	13634271	13634271	0.9583333333	McKinney, George Wesley.			Person		http://example.org/1018302#Agent100-11	
Federal Reserve Bank of Richmond.		153572646		Federal Reserve Bank of Richmond.	153572646	0.9696969697	Organization		http://example.org/1018302#Agent610-19	
Clark, Sam H.,	28690688	28690688	0.9285714286	Clark, Sam H.,			Person		http://example.org/1018363#Agent100-10	
Campbell, Wallace,				Campbell, Wallace,			Person		http://example.org/1018363#Agent700-19	
Jim Jam Jems.				Jim Jam Jems.			Organization		http://example.org/1018363#Agent710-20	
Board of Governors of the Federal Reserve System (U.S.)		152072915		Board of Governors of the Federal Reserve System (U.S.)	152072915	1	Organization		http://example.org/1018370#Agent110-12	
Eastburn, David P.,	4793730	4793730	0.9473684211	Eastburn, David P.,			Person		http://example.org/1018370#Agent700-22	
Federal Reserve Bank of Philadelphia.		129518716		Federal Reserve Bank of Philadelphia.	129518716	0.972972973	Organization		http://example.org/1018370#Agent710-23	
New York Clearing House Association.		150823505		New York Clearing House Association.	150823505	0.9722222222	Organization		http://example.org/1018337#Agent110-11	
Fforde, John Standish.				Fforde, John Standish.			Person		http://example.org/1016819#Agent100-11	
Youngman, Anna Prichitt.	56417398	56417398	0.9583333333	Youngman, Anna Prichitt.			Person		http://example.org/1018361#Agent100-11	
Willis, Henry Parker, 1874-1937.	39754539	39754539	0.96875	Willis, Henry Parker, 1874-1937.			Person		http://example.org/1018359#Agent100-10	
Willis, Henry Parker, 1874-1937.	39754539	39754539	0.96875	Willis, Henry Parker, 1874-1937.			Person		http://example.org/1018357#Agent100-10	
United States. Congress. Joint Economic Committee.		126655418		United States. Congress. Joint Economic Committee.	126655418	0.98	Jurisdiction		http://example.org/1022084#Agent110-11	
Atkinson, Raymond Cumings, 1895-	115165458	115165458	1	Atkinson, Raymond Cumings, 1895-			Person		http://example.org/1001005#Agent100-11	
Social Science Research Council (U.S.). Committee on Social Security.		148049744		Social Science Research Council (U.S.). Committee on Social Security.	148049744	0.9855072464	Organization		http://example.org/1001005#Agent710-20	
Levitan, Sar A.	109397012	109397012	1	Levitan, Sar A.			Person		http://example.org/1022372#Agent100-13	
Deakin, Alfred, 1856-1919.	18024879	18024879	0.9615384615	Deakin, Alfred, 1856-1919.			Person		http://example.org/1051385#Agent100-11	
Poley, Arthur Pierre, 1857-	309677591	309677591	0.962962963	Poley, Arthur Pierre, 1857-			Person		http://example.org/1044617#Agent100-11	
Blough, Roy, 1901-2000.				Blough, Roy, 1901-2000.			Person		http://example.org/1022067#Agent100-11	
Blaisdell, Thomas C. (Thomas Charles), 1895-1988.	50795193	50795193	0.9795918367	Blaisdell, Thomas C. (Thomas Charles), 1895-1988.			Person		http://example.org/1001652#Agent100-11	
United States. Federal Trade Commission.		131945357		United States. Federal Trade Commission.	131945357	0.975	Jurisdiction		http://example.org/1001652#Agent610-19	
Janov, Arthur.	71923784	71923784	1	Janov, Arthur.			Person		http://example.org/1065954#Agent100-11	
Campbell, A. E. (Arnold Everitt), 1906-1980.				Campbell, A. E. (Arnold Everitt), 1906-1980.			Person		http://example.org/1070323#Agent100-11	
Feilding, New Zealand. Community centre.				Feilding, New Zealand. Community centre.			Jurisdiction		http://example.org/1070323#Agent610-19	
NATO Advanced Study Institute on Feldspars, 2d, Manchester, Eng., 1972.				NATO Advanced Study Institute on Feldspars, 2d, Manchester, Eng., 1972.			Meeting		http://example.org/1034918#Agent111-11	
MacKenzie, W. S.,	68990831	68990831	0.8235294118	MacKenzie, W. S.,			Person		http://example.org/1034918#Agent700-21	
Zussman, J.,	46824705	46824705	0.9166666667	Zussman, J.,			Person		http://example.org/1034918#Agent700-22	
Mason, Pamela (Ostrer) 1915-				Mason, Pamela (Ostrer) 1915-			Person		http://example.org/1031361#Agent100-13	
Van de Walle, Etienne, 1932-	68966694	68966694	0.8484848485	Van de Walle, Etienne, 1932-			Person		http://example.org/1023834#Agent100-12	
Lennox, Charlotte, approximately 1729-1804.	100288562	100288562	0.976744186	Lennox, Charlotte, approximately 1729-1804.			Person		http://example.org/1020202#Agent100-9	
Barbauld, Mrs. (Anna Letitia), 1743-1825.	9896232	9896232	0.8048780488	Barbauld, Mrs. (Anna Letitia), 1743-1825.			Person		http://example.org/1020202#Agent700-18	
Huffington, Arianna Stassinopoulos, 1950-	110859914	110859914	1	Huffington, Arianna Stassinopoulos, 1950-			Person		http://example.org/1004580#Agent100-13	
Klein, Viola.	100288417	100288417	0.9230769231	Klein, Viola.			Person		http://example.org/1031320#Agent100-10	
Friedan, Betty.				Friedan, Betty.			Person		http://example.org/1031808#Agent100-16	
Sexton, Patricia Cayo.	44392143	44392143	1	Sexton, Patricia Cayo.			Person		http://example.org/1064965#Agent100-15	
Griffin, Clifford Stephen, 1929-	111686046	111686046	1	Griffin, Clifford Stephen, 1929-			Person		http://example.org/1027388#Agent100-12	
Bogue, Donald J., 1918-2014.				Bogue, Donald J., 1918-2014.			Person		http://example.org/1073849#Agent100-11	
Nelson, James, 1946-	165453326	165453326	1	Nelson, James, 1946-			Person		http://example.org/1073849#Agent700-23	
Markham, Jesse William, 1916-	108892284	108892284	0.8787878788	Markham, Jesse William, 1916-			Person		http://example.org/1002697#Agent100-11	
Brown, Dee, 1908-2002.				Brown, Dee, 1908-2002.			Person		http://example.org/1011514#Agent100-11	
Carrington, Henry Beebee, 1824-1912.	54525035	54525035	0.9722222222	Carrington, Henry Beebee, 1824-1912.			Person		http://example.org/1011514#Agent600-21	
Storzer, Gerald Howard, 1938-.				Storzer, Gerald Howard, 1938-.			Person		http://example.org/1051452#Agent100-11	
Palmer, William J.	59229469	59229469	1	Palmer, William J.			Person		http://example.org/1060068#Agent100-14	
Fowles, John, 1926-2005	4929997	4929997	0.9583333333	Fowles, John, 1926-2005			Person		http://example.org/1060068#Agent600-23	
McDaniel, John N., 1941-	36461213	36461213	0.8571428571	McDaniel, John N., 1941-			Person		http://example.org/1051580#Agent100-11	
Roth, Philip	100235370	100235370	1	Roth, Philip			Person		http://example.org/1051580#Agent600-19	
Hochman, Baruch, 1930-	109184490	109184490	1	Hochman, Baruch, 1930-			Person		http://example.org/1097681#Agent100-14	
Agnon, Shmuel Yosef, 1887-1970.	14765267	14765267	0.935483871	Agnon, Shmuel Yosef, 1887-1970.			Person		http://example.org/1097681#Agent600-24	
National Research Council (U.S.) Committee on Highway Safety Research.		150406756		National Research Council (U.S.) Committee on Highway Safety Research.	150406756	0.8428571429	Organization		http://example.org/1006265#Agent110-10	
Forward, Nigel, 1923-	24149648	24149648	1	Forward, Nigel, 1923-			Person		http://example.org/1053447#Agent100-15	
Fink, Arthur E. (Arthur Emil), 1903-	110561573	110561573	1	Fink, Arthur E. (Arthur Emil), 1903-			Person		http://example.org/1034279#Agent100-14	
Anderson, C. Wilson (Carl Wilson), 1912-1998,				Anderson, C. Wilson (Carl Wilson), 1912-1998,			Person		http://example.org/1034279#Agent700-26	
Conover, Merrill B.,	24285296	24285296	0.95	Conover, Merrill B.,			Person		http://example.org/1034279#Agent700-27	
Edwards, Richard, 1916-	111688790	111688790	0.8518518519	Edwards, Richard, 1916-			Person		http://example.org/1087174#Agent100-10	
Shen, Zhou, 1427-1509.	96576260	96576260	0.9545454545	Shen, Zhou, 1427-1509.			Person		http://example.org/1087174#Agent600-18	
Jasīmauddīna, 1904-1976.	18234384	18234384	0.9583333333	Jasīmauddīna, 1904-1976.			Person		http://example.org/1098956#Agent100-10	
Milford, E. M.,				Milford, E. M.,			Person		http://example.org/1098956#Agent700-19	
Weinreich, Uriel,	29608358	29608358	0.9411764706	Weinreich, Uriel,			Person		http://example.org/1097692#Agent100-10	
Newgarden, Albert,	277770379	277770379	0.9444444444	Newgarden, Albert,			Person		http://example.org/1011821#Agent100-11	
