19UAL Avalon test batch,Umar.Qasim@ualberta.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19Other Identifier,Other Identifier Type,Other Identifier,Other Identifier Type,title,creator,Contributors,Genre,Genre,date issued,abstract,Language,Related Item URL,Related Item Label,Related Item URL,Related Item Label,Related Item URL,Related Item Label,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Geographic Subject,Geographic Subject,Terms of Use,Publish,Hidden,File,Label,File,Label,Note,note type
1981-32-1,local,,,Ernest C. Manning Oral History Collection: Interview 1,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1978-12-04,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-1,Transcript: Interview 1,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-1,Archival Finding Aid: Interview 1,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-1 Interview1 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-2,local,,,Ernest C. Manning Oral History Collection: Interview 2,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1978-12-18,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-2,Transcript: Interview 2,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-2,Archival Finding Aid: Interview 2,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-7 Interview2 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-3,local,,,Ernest C. Manning Oral History Collection: Interview 3,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1979-03-12,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-3,Transcript: Interview 3,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-3,Archival Finding Aid: Interview 3,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-7 Interview3 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-4,local,,,Ernest C. Manning Oral History Collection: Interview 4,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1979-05-07,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-4,Transcript: Interview 4,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-4,Archival Finding Aid: Interview 4,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-7 Interview4 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-5,local,,,Ernest C. Manning Oral History Collection: Interview 5,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1979-07-09,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-5,Transcript: Interview 5,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-5,Archival Finding Aid: Interview 5,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-7 Interview5 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-6,local,,,Ernest C. Manning Oral History Collection: Interview 6,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1979-07-16,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-6,Transcript: Interview 6,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-6,Archival Finding Aid: Interview 6,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-7 Interview6 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-7,local,,,Ernest C. Manning Oral History Collection: Interview 7,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1979-07-30,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-7,Transcript: Interview 7,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-7,Archival Finding Aid: Interview 7,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-7 Interview7 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-8,local,,,Ernest C. Manning Oral History Collection: Interview 8,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1979-08-20,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-8,Transcript: Interview 8,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-8,Archival Finding Aid: Interview 8,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-8 Interview8 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-9,local,,,Ernest C. Manning Oral History Collection: Interview 9,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1979-09-24,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-9,Transcript: Interview 9,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-9,Archival Finding Aid: Interview 9,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-9 Interview9 Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-11,local,,,Ernest C. Manning Oral History Collection: Interview 11 Tape 2,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-05-22,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-11,Transcript: Interview 11,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-11,Archival Finding Aid: Interview 11,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-11 Interview11 tape 2of2 Ernest Manning.mp3,Tape 2 of 2,,,Tape 1 missing,general
1981-32-12,local,1981-32-13,local,Ernest C. Manning Oral History Collection: Interview 12,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-06-09,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-12,Transcript: Interview 12,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-12-tape-1,Archival Finding Aid: Interview 12 Tape 1,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-12-tape-2,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-12_1of2-Ernest Manning.mp3,Tape 1 of 2,81-32-13_2of2-Ernest Manning.mp3,Tape 2 of 2,,
1981-32-14,local,,,Ernest C. Manning Oral History Collection: Interview 13,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-06-23,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-13,Transcript: Interview 13,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-13,Archival Finding Aid: Interview 13,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-14_1of1-Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-15,local,,,Ernest C. Manning Oral History Collection: Interview 14,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-07-04,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-14,Transcript: Interview 14,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-14,Archival Finding Aid: Interview 14,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-15_1of1-Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-16,local,,,Ernest C. Manning Oral History Collection: Interview 15,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-07-11,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-15,Transcript: Interview 15,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-15,Archival Finding Aid: Interview 15,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-16_1of1-Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-17,local,1981-32-18,local,Ernest C. Manning Oral History Collection: Interview 16,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-07-18,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-16,Transcript: Interview 16,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-16-tape-1,Archival Finding Aid: Interview 16 Tape 1,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-16-tape-2,Archival Finding Aid: Interview 16 Tape 2,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-17_1of2-Ernest Manning.mp3,Tape 1 of 1,81-32-18_2of2-Ernest Manning.mp3,Tape 2 of 2,,
1981-32-19,local,1981-32-20,local,Ernest C. Manning Oral History Collection: Interview 17,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-07-31,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-17,Transcript: Interview 17,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-17-tape-1,Archival Finding Aid: Interview 17 Tape 1,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-17-tape-2,Archival Finding Aid: Interview 17 Tape 2,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-19_1of2_Ernest Manning.mp3,Tape 1 of 1,81-32-20_2of2-Ernest Manning.mp3,Tape 2 of 2,,
1981-32-21,local,,,Ernest C. Manning Oral History Collection: Interview 18,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-08-08,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-18,Transcript: Interview 18,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-18,Archival Finding Aid: Interview 18,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-21_1of1-Ernest Manning.mp3,Tape 1 of 1,,,,
1981-32-23,local,,,Ernest C. Manning Oral History Collection: Interview 19 Tape 2,"Manning, Ernest C.","Semotuk, Lydia",Interview,History,1980-08-20,Interview of Ernest C. Manning by Lydia Semotuk,english,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-transcript-of-interview-19,Transcript: Interview 19,https://discoverarchives.library.ualberta.ca/index.php/ernest-c-manning-oral-history-collection-audio-recording-of-interview-19,Archival Finding Aid: Interview 19,,,Politics and government,Ernest Manning,Social Credit Party,Provincial legislation,Canada,Alberta,Attribution_4.0_International,yes,No,81-32-23 Interview19 Tape 2of2 Ernest Manning.mp3,Tape 2 of 2,,,Tape 1 missing,general
