Column 1	matched_ID	ID	score (0.8)	Column 2	Column 3	Column 4	blank
Bailey, Stephen, 1947-	10406624	104066245	0.88	Person		http://example.org/6804836#Agent100-20	
Bottomley, Jane	27403952	274039521;;	1	Person		http://example.org/6665217#Agent100-18	
Herlihy, Barbara	918460	9184607;93148517;271287498	1	Person		http://example.org/6679338#Agent100-17	
American Counseling Association				Organization		http://example.org/6679338#Agent610-29	
Corey, Gerald	8564959	85649595;;	1	Person		http://example.org/6679338#Agent700-33	
American Counseling Association				Organization		http://example.org/6679338#Agent710-34	
American Counseling Association				Organization		http://example.org/6679338#Agent710-35	
Finnbogason, Jack, 1942-	10543616	105436166	1	Person		http://example.org/6356389#Agent100-13	
Valleau, Al, 1946-	10544070	105440705	1	Person		http://example.org/6356389#Agent700-26	
Altman, Yair M	232138614	232138614;232393994	0.9333333333	Person		http://example.org/6786234#Agent100-14	
Raby, Nigel	314914871	314914871;79554584	1	Person		http://example.org/6622213#Agent100-16	
Bianculli, Andrea, 1968-	31071473	310714733	1	Person		http://example.org/6813498#Agent100-18	
Fernàndez-i-Marøn, Xavier				Person		http://example.org/6813498#Agent700-33	
Jordana, Jacint, 1962-	5193583	51935832	1	Person		http://example.org/6813498#Agent700-34	
Bellassen, Valentin	7881164	78811644;;	1	Person		http://example.org/6849309#Agent700-28	
Stephan, Nicolas				Person		http://example.org/6849309#Agent700-29	
Ramirez, Juan, 1961-	2159316		0.8695652174	Person		http://example.org/6812149#Agent100-28	
Fundació Alícia				Organization		http://example.org/6749006#Agent110-14	
Bowden-Jones, Henrietta	30982492	309824926	1	Person		http://example.org/6813477#Agent700-37	
George, Sanju	30982492	309824927	1	Person		http://example.org/6813477#Agent700-38	
Danby, F. William	31061785	310617855	1	Person		http://example.org/6797127#Agent100-19	
Shepherd, Megan	30716574	307165747	1	Person		http://example.org/6808121#Agent100-16	
Shepherd, Megan	30716574	307165747	1	Person		http://example.org/6808121#Agent800-30	
Davis, John, 1961 September 24-	10032481	100324811	1	Person		http://example.org/6797101#Agent700-37	
Greenhill, Jennifer A., 1974-	22097375	220973755	1	Person		http://example.org/6797101#Agent700-38	
LaFountain, Jason David	30545634	305456340	0.9565217391	Person		http://example.org/6797101#Agent700-39	
Hartwig, Melinda K	35398239	35398239;79504378;778145857090722922093	0.9473684211	Person		http://example.org/6774274#Agent700-34	
Juhasz, Alexandra	298262881		1	Person		http://example.org/6810977#Agent700-27	
Lebow, Alisa	5130614	51306142	1	Person		http://example.org/6810977#Agent700-28	
Hammer, Dean, 1959-	3713824	37138249	1	Person		http://example.org/6706343#Agent700-36	
Livy	99942145	Cannot parse to number;Cannot parse to number;Cannot parse to number	;	Person		http://example.org/6720281#Agent600-36	
Mineo, Bernard	4699019	46990193	0.9333333333	Person		http://example.org/6720281#Agent700-40	
Livy	99942145	Cannot parse to number;Cannot parse to number;Cannot parse to number	;	Person		http://example.org/6798519#Agent600-30	
Mineo, Bernard	4699019	46990193	0.9333333333	Person		http://example.org/6798519#Agent700-34	
Scorsese, Martin	11171614		1	Person		http://example.org/6706321#Agent600-31	
Baker, Aaron				Person		http://example.org/6706321#Agent700-32	
Baker, Michael Brendan	10286459	102864590	1	Person		http://example.org/6706321#Agent700-33	
Reagan, Ronald	7632188		1	Person		http://example.org/6855772#Agent600-37	
Johns, Andrew L., 1968-	11948947	119489476	0.8518518519	Person		http://example.org/6855772#Agent700-40	
O'Connell, Claire Babcock	7814877	78148771	1	Person		http://example.org/6709732#Agent700-34	
American Academy of Physician Assistants				Organization		http://example.org/6709732#Agent710-35	
Physician Assistant Education Association				Organization		http://example.org/6709732#Agent710-36	
Chang, Myong-Hun	31328481	313284814;;	1	Person		http://example.org/6802958#Agent100-23	
Hackshaw, Allan K	78196744	78196744;236041254	0.9444444444	Person		http://example.org/6797135#Agent100-19	
Walker, Brett L., 1967-....				Person		http://example.org/6849283#Agent100-14	
Mason, David S. (David Stewart), 1947-	2466740	24667403	1	Person		http://example.org/6802858#Agent100-24	
Creswell, John W	88573974	88573974;298144782725406965264	0.9411764706	Person		http://example.org/6740958#Agent100-15	
Beebe, Steven A., 1950-	775414906846587000000	7.75414906846587E+021	0.9565217391	Person		http://example.org/6698066#Agent100-17	
Beebe, Susan J	5820677	58206773	0.9333333333	Person		http://example.org/6698066#Agent700-29	
Parascandola, Louis J., 1952-	11550717	115507174	1	Person		http://example.org/6803154#Agent700-33	
Parascandola, John, 1941-	9351428	93514289	0.8620689655	Person		http://example.org/6803154#Agent700-34	
O'Connor, Kieron Philip	2962952	29629529;;211570512	1	Person		http://example.org/6812939#Agent100-18	
Wetering, Ernst van de, 1938-	11638620	116386205	0.9333333333	Person		http://example.org/6791877#Agent100-19	
Rembrandt Harmenszoon van Rijn, 1606-1669	64013650	64013650;;	0.9761904762	Person		http://example.org/6791877#Agent600-31	
Nes, Carin van	17614936634318600000		1	Person		http://example.org/6791877#Agent700-32	
Pearson, Murray	169248522	169248522;	1	Person		http://example.org/6791877#Agent700-33	
Howard, Carl Q., 1970-	30875554	308755547	1	Person		http://example.org/6786242#Agent100-14	
Cazzolato, Benjamin S., 1969-	30875554	308755549	1	Person		http://example.org/6786242#Agent700-33	
Beagan, Brenda L	105250982	105250982;315967346	0.9411764706	Person		http://example.org/6803037#Agent100-21	
Chapman, Gwenneth Ellen, 1959-	105714717			Person		http://example.org/6803037#Agent700-32	
Johnston, Josée, 1972-	106580705			Person		http://example.org/6803037#Agent700-33	
McPhail, Deborah, 1977-	31145723	311457232	1	Person		http://example.org/6803037#Agent700-34	
Power, Elaine M., 1961-	31145740	311457406	1	Person		http://example.org/6803037#Agent700-35	
Vallianatos, Helen	10661681	106616816	1	Person		http://example.org/6803037#Agent700-36	
Beagan, Brenda L	105250982	105250982;315967346	0.9411764706	Person		http://example.org/6795707#Agent100-22	
Vallianatos, Helen	10661681	106616816	1	Person		http://example.org/6795707#Agent700-33	
Johnston, Josée, 1972-	106580705			Person		http://example.org/6795707#Agent700-34	
Chapman, Gwenneth Ellen, 1959-	105714717			Person		http://example.org/6795707#Agent700-35	
McPhail, Deborah, 1977-	31145723	311457232	1	Person		http://example.org/6795707#Agent700-36	
Power, Elaine M., 1961-	31145740	311457406	1	Person		http://example.org/6795707#Agent700-37	
Zufferey, Sandrine	15617864	156178649	0.9473684211	Person		http://example.org/6774181#Agent100-19	
Young, David E. (David Earl)	9351063	93510638;115010312	1	Person		http://example.org/6694250#Agent100-19	
Willier, Russell	4907583	49075830;;104720101	1	Person		http://example.org/6694250#Agent600-30	
Willier, Russell	4907583	49075830;;104720101	1	Person		http://example.org/6694250#Agent600-31	
Rogers, Robert Dale, 1950-	26596760	265967607;	1	Person		http://example.org/6694250#Agent700-37	
Willier, Russell	4907583	49075830;;104720101	1	Person		http://example.org/6694250#Agent700-38	
Buuren, Arwin van	5609088	56090886;32145969987032250422;554146997327618891822	1	Person		http://example.org/6807496#Agent700-35	
Eshuis, Jasper, 1972-	17147150	171471508	0.84	Person		http://example.org/6807496#Agent700-36	
Vliet, Mathijs van	23564018	235640184	1	Person		http://example.org/6807496#Agent700-37	
DeTurk, Sara	31061396	310613964	1	Person		http://example.org/6795648#Agent100-21	
Esperanza Peace &amp; Justice Center				Organization		http://example.org/6795648#Agent610-32	
Cook, Diane J., 1963-	2737932	27379323	0.84	Person		http://example.org/6855794#Agent100-23	
Krishnan, Narayanan C	1814478295006130000	1.81447829500613E+019	0.9545454545	Person		http://example.org/6855794#Agent700-39	
Ewan, Vanessa, 1960-	30982050	309820501	1	Person		http://example.org/6775504#Agent100-17	
Green, Debbie, 1956-	30982226		1	Person		http://example.org/6775504#Agent700-28	
Brooks, Helen, 1981-	31061376	310613761	1	Person		http://example.org/6774095#Agent100-19	
Palgrave Connect (Online service)				Organization		http://example.org/6774095#Agent710-32	
Clements, Rebekah	18014936645158600000		1	Person		http://example.org/6849271#Agent100-14	
Chelmow, David	30823373	308233738;315221137	1	Person		http://example.org/6850064#Agent700-29	
Isaacs, Christine R	30823374	308233742	0.95	Person		http://example.org/6850064#Agent700-30	
Carroll, Ashley	30823374	308233743	1	Person		http://example.org/6850064#Agent700-31	
Katagiri, Noriyuki	30747405	307474055	0.9473684211	Person		http://example.org/6774208#Agent100-18	
Katagiri, Noriyuki	30747405	307474055	0.9473684211	Person		http://example.org/6758290#Agent100-15	
Chang, Mark	43727698	43727698;;	0.9166666667	Person		http://example.org/6786272#Agent100-14	
Poularikas, Alexander D., 1933-	7156664	71566644	1	Person		http://example.org/6808971#Agent100-18	
Gürth, Per-Henrik	949534	9495341	1	Person		http://example.org/6786304#Agent100-14	
Fong, Rowena	5867815	58678155;505146998392918941627;312645232	1	Person		http://example.org/6786568#Agent700-33	
Ruckmongathan, Temkar N	30823131	308231311	0.9583333333	Person		http://example.org/6773971#Agent100-24	
Colman, Andrew M	19770727	19770727;	0.9411764706	Person		http://example.org/6849475#Agent100-14	
DeValve, Michael J	31145907	311459077	0.9473684211	Person		http://example.org/6799148#Agent100-15	
Faulkner, Andrew	102487908	102487908;;	0.9411764706	Person		http://example.org/6784393#Agent100-18	
Gyncild, Brie	28734611	287346110	0.9285714286	Person		http://example.org/6784393#Agent700-36	
Maivald, James J	6134373	61343733	0.9411764706	Person		http://example.org/6809132#Agent100-18	
Wood, Brian				Person		http://example.org/6808783#Agent100-18	
Wood, Brian				Person		http://example.org/6786435#Agent100-15	
Anton, Kelly Kordes	288367316	288367316;	1	Person		http://example.org/6659415#Agent100-18	
Cruise, John				Person		http://example.org/6659415#Agent700-35	
Bukhuth, Shakoor				Person		http://example.org/6659415#Agent700-36	
Anton, Kelly Kordes	288367316	288367316;	1	Person		http://example.org/6786432#Agent100-12	
Cruise, John				Person		http://example.org/6786432#Agent700-27	
Wood, Brian				Person		http://example.org/6659560#Agent100-18	
Just, Črtomir				Person		http://example.org/6659560#Agent700-32	
Faulkner, Andrew	102487908	102487908;;	0.9411764706	Person		http://example.org/6786422#Agent100-15	
Gyncild, Brie	28734611	287346110	0.9285714286	Person		http://example.org/6786422#Agent700-31	
Faulkner, Andrew	102487908	102487908;;	0.9411764706	Person		http://example.org/6659416#Agent100-18	
Gyncild, Brie	28734611	287346110	0.9285714286	Person		http://example.org/6659416#Agent700-32	
Sparre, Bē Kylli				Person		http://example.org/6659416#Agent700-33	
Evening, Martin	1251222	12512229	0.9375	Person		http://example.org/6773928#Agent100-18	
Carlson, Jeff	8053754	80537541;;	1	Person		http://example.org/6784443#Agent100-18	
Hawkins, Brian	9435105		0.8235294118	Person		http://example.org/6659395#Agent100-18	
Chiu-Watson, Lily	12014500329786100000	1.20145003297861E+020	1	Person		http://example.org/6659395#Agent700-33	
McMahan, Ian, 1940-	8096999	80969995	1	Person		http://example.org/6675253#Agent100-14	
Thompson, Susan, 1966-	10568101		1	Person		http://example.org/6675253#Agent700-26	
Routt, Gregory	30638173	306381732	1	Person		http://example.org/6702108#Agent100-20	
Anderson, Lily	306381733		1	Person		http://example.org/6702108#Agent700-34	
Wu, Huiying	31490092	314900926;9654147425874345040001;	1	Person		http://example.org/6808729#Agent700-32	
Patel, Chris	27880734	278807344;119380962;189894623	1	Person		http://example.org/6808729#Agent700-33	
Cortman, Christopher	10066518	100665180	1	Person		http://example.org/6809321#Agent100-18	
Shinitzky, Harold	10066520	100665200	1	Person		http://example.org/6809321#Agent700-33	
O'Connor, Laurie-Ann	31176869		1	Person		http://example.org/6809321#Agent700-34	
Daniel, Sarah (Sarah Ingrid)	30638268	306382685;	1	Person		http://example.org/6704099#Agent100-21	
Daniel, Sarah (Sarah Ingrid)	30638268	306382685;	1	Person		http://example.org/6799208#Agent100-17	
Cooper, Kim (Kim D.)	30875770	308757707;;	1	Person		http://example.org/6755332#Agent700-37	
Gosnell, Kelly	23348380	233483803	1	Person		http://example.org/6755332#Agent700-38	
Smith, Ben				Person		http://example.org/6809179#Agent100-16	
Annuzzi, Joseph, Jr	30519792	305197928	0.95	Person		http://example.org/6752405#Agent100-18	
Darcey, Lauren, 1977-	9104111	91041117	0.875	Person		http://example.org/6752405#Agent700-34	
Conder, Shane, 1975-	9104110	91041101	0.8695652174	Person		http://example.org/6752405#Agent700-35	
Goolsby, Mary Jo	1413725	14137256	1	Person		http://example.org/6790622#Agent700-27	
Grubbs, Laurie, 1951-	188727	1887275	1	Person		http://example.org/6790622#Agent700-28	
"International Symposium ""Advanced Composites for Aerospace, Marine, and Land Applications"" (2nd : 2015 : Orlando, Florida)"				Meeting		http://example.org/6855798#Agent111-17	
Sano, Tomoko	308236363	308236363;;	0.9230769231	Person		http://example.org/6855798#Agent700-30	
Srivatsan, T. S	4453583	44535833	0.8666666667	Person		http://example.org/6855798#Agent700-31	
Minerals, Metals and Materials Society. Annual Meeting (144th : 2015 : Orlando, Florida)				Organization		http://example.org/6855798#Agent710-32	
Emadi, Ali	29711874	297118746	1	Person		http://example.org/6748943#Agent100-14	
Verveer, Peter J	313312700	313312700;64150032973211180000	0.9411764706	Person		http://example.org/6799511#Agent700-39	
Carcio, Helen Nelson	7034282	70342821;114624477	1	Person		http://example.org/6789520#Agent100-15	
Secor, Mimi Clarke	10349531	103495317	1	Person		http://example.org/6789520#Agent700-26	
Cabrera, Carlos R	311116523	311116523;314915169	0.9444444444	Person		http://example.org/6677817#Agent700-27	
Miranda, Félix A	31111652		0.9411764706	Person		http://example.org/6677817#Agent700-28	
Santos Jr., Euzeli Cipriano dos	31145953	311459533;	1	Person		http://example.org/6789399#Agent100-20	
Silva, Edison Roberto Cabral da, 1942-	31145953	311459537	0.9487179487	Person		http://example.org/6789399#Agent700-33	
Armstrong, Donald, 1931-....	84877109			Person		http://example.org/6735481#Agent700-44	
Maguire, Miles	615770	6157703;86145542375496641269	1	Person		http://example.org/6669748#Agent100-18	
Maguire, Miles	615770	6157703;86145542375496641269	1	Person		http://example.org/6804843#Agent100-19	
Wickham, Hadley	251620867	251620867;171558362	1	Person		http://example.org/6712194#Agent100-14	
Wickham, Hadley	251620867	251620867;171558362	1	Person		http://example.org/6798679#Agent100-18	
Dragan, Ecaterina Stela	16370179	163701797	0.9166666667	Person		http://example.org/6712214#Agent700-29	
Rossetti, Rosaldo J.F	314904874	314904874;	0.9545454545	Person		http://example.org/6809382#Agent100-18	
Liu, Ronghui	309584871	309584871;	1	Person		http://example.org/6809382#Agent700-34	
International Conference on Advanced Ceramics and Composites (38th : 2014 : Daytona Beach, Florida)				Meeting		http://example.org/6807470#Agent111-28	
Narayan, Roger	70514585794732300000	7.05145857947323E+020	1	Person		http://example.org/6807470#Agent700-45	
Colombo, Paolo, 1960-	8521644	85216449	0.84	Person		http://example.org/6807470#Agent700-46	
Gyekenyesi, Andrew	503614863294323000000	5.03614863294323E+021	1	Person		http://example.org/6807470#Agent700-47	
Halbig, Michael				Person		http://example.org/6807470#Agent700-48	
American Ceramic Society				Organization		http://example.org/6807470#Agent710-49	
Hawkins, Jan F	305199256	305199256;4353149068535665730009	0.9333333333	Person		http://example.org/6797160#Agent700-31	
Holzapfel, Wilhelm	3965901	39659018;;	1	Person		http://example.org/6752490#Agent700-32	
Holzapfel, Wilhelm	3965901	39659018;;	1	Person		http://example.org/6752254#Agent700-42	
Alessandria, V				Person		http://example.org/6752254#Agent700-43	
Fingeroth, James M	30983046	309830468	0.9473684211	Person		http://example.org/6797181#Agent700-46	
Thomas, William B., 1959-	11673254		0.8620689655	Person		http://example.org/6797181#Agent700-47	
Light, Richard, 1951-	23344722	233447224	1	Person		http://example.org/6790447#Agent100-23	
Cabeza, Luisa F., 1967-	7897001	78970011	1	Person		http://example.org/6809379#Agent700-33	
Nastac, Laurentiu	3138214	31382147;483149068604765730003	1	Person		http://example.org/6855803#Agent700-29	
Wu, Feng (Computer scientist)	30823069	308230695	1	Person		http://example.org/6677758#Agent100-15	
Keengwe, Jared, 1973-	9044593	90445939	1	Person		http://example.org/6758366#Agent700-31	
Maxfield, Marian B., 1979-	30875622	308756221	1	Person		http://example.org/6758366#Agent700-32	
Wenger, Debora Halpern	262953957	262953957;309867556	1	Person		http://example.org/6698159#Agent100-18	
Potter, Deborah (Deborah A.)	6623007	66230070;309867555;	1	Person		http://example.org/6698159#Agent700-29	
Babbie, Earl R	8818507	88185077	0.9333333333	Person		http://example.org/6814007#Agent100-16	
Wagner, William E. (William Edward)	3388099		1	Person		http://example.org/6814007#Agent700-28	
Zaino, Jeanne	6350826	63508262;363144783013572522461	1	Person		http://example.org/6814007#Agent700-29	
Kelley, Larry D., 1955-	6831051	68310512	0.8518518519	Person		http://example.org/6740947#Agent100-19	
Jugenheimer, Donald W	40648208	40648208;	0.9545454545	Person		http://example.org/6740947#Agent700-33	
Belch, George E. (George Edward), 1951-	8054538	80545386	1	Person		http://example.org/6698053#Agent100-16	
Belch, Michael A	45869769	45869769;80545465;111045657	0.9411764706	Person		http://example.org/6698053#Agent700-45	
Wharton, Chris (Lecturer in advertising and media)	30743856	307438563	1	Person		http://example.org/6785788#Agent100-20	
Wharton, Chris (Lecturer in advertising and media)	30743856	307438563	1	Person		http://example.org/6774010#Agent100-21	
Moriarty, Sandra E. (Sandra Ernst)	5676106	56761066;;278245353	1	Person		http://example.org/6672305#Agent100-13	
Mitchell, Nancy, 1950- 	5606706	56067060	0.8461538462	Person		http://example.org/6672305#Agent700-28	
Wells, William, 1926- 	11049176	110491764	0.84	Person		http://example.org/6672305#Agent700-29	
Hackley, Christopher E	15016550	15016550;315239486;8504149296256080670006	0.9565217391	Person		http://example.org/6810957#Agent100-19	
Hackley, Rungpaka Amy	31718581		1	Person		http://example.org/6810957#Agent700-37	
Arens, William F.	50568919		0.9411764706	Person		http://example.org/6811030#Agent100-15	
Schaefer, David H	165461558	165461558;6040148947872754950003;119831605	0.9444444444	Person		http://example.org/6811030#Agent700-26	
Weigold, Michael F., 1958-	2404215	24042155	1	Person		http://example.org/6811030#Agent700-27	
Aerospace Medical Association				Organization		http://example.org/6789236#Agent710-29	
Papacharissi, Zizi	583145858102423000000	583145858102423022185;100452918	1	Person		http://example.org/6803505#Agent100-18	
Ehlert, Frederick J	30982953	309829530	0.95	Person		http://example.org/6786503#Agent100-19	
Jenkins, Emily, 1967-	2243154	22431540;47002936;	1	Person		http://example.org/6803081#Agent100-16	
Blackall, Sophie	7066128	70661289;;	1	Person		http://example.org/6803081#Agent700-33	
Griffin, Emory A	118100989		0.9411764706	Person		http://example.org/6698077#Agent100-17	
Ledbetter, Andrew	30743226	307432264;	1	Person		http://example.org/6698077#Agent700-30	
Sparks, Glenn Grayson	2117180	21171806;249211522	1	Person		http://example.org/6698077#Agent700-31	
Mazama, Ama, 1961-	6899901	68999017	1	Person		http://example.org/6775944#Agent100-17	
Musumunu, Garvey	31350566	313505667	1	Person		http://example.org/6775944#Agent700-29	
Widawski, Maciej	54323197	54323197;	0.9411764706	Person		http://example.org/6849262#Agent100-14	
Rovine, Victoria	1252542	12525426;;189308993	1	Person		http://example.org/6785936#Agent100-37	
Matambalya, Francis A. S. T	264164	2641647	0.8888888889	Person		http://example.org/6710517#Agent700-34	
Kallen, Stuart A., 1955-	26952925	269529259	0.8571428571	Person		http://example.org/6858985#Agent100-17	
Romero, Patricia W	271599588	271599588;	1	Person		http://example.org/6808269#Agent100-19	
Konadu, Kwasi	2492495	24924956;	1	Person		http://example.org/6665467#Agent100-18	
Getz, Trevor R	31624	316245	0.9333333333	Person		http://example.org/6665467#Agent700-35	
Murphy, James T	65515709	65515709;;	0.9375	Person		http://example.org/6797106#Agent100-20	
Carmody, Pádraig				Person		http://example.org/6797106#Agent700-35	
Jerven, Morten, 1978-	29131537	291315376	1	Person		http://example.org/6812249#Agent100-13	
International African Institute				Organization		http://example.org/6812249#Agent710-27	
Royal African Society				Organization		http://example.org/6812249#Agent710-28	
World Peace Foundation				Organization		http://example.org/6812249#Agent710-29	
Strickrodt, Silke, 1970-	7156445	71564455	0.8571428571	Person		http://example.org/6813532#Agent100-23	
Kissane, Bill	7665006	76650069	1	Person		http://example.org/6766174#Agent700-27	
Nancy, Jean-Luc	10361704	103617048;;	1	Person		http://example.org/6773932#Agent100-20	
Jones, Michael K	73925143		0.9411764706	Person		http://example.org/6815395#Agent100-18	
Tamm, Marek	5100062	51000625;	1	Person		http://example.org/6813536#Agent700-34	
"Colloque ""L'orientalisme et après? - Méditations, appropriations, contestations"" (2011 : Paris, France)"				Meeting		http://example.org/6795567#Agent111-30	
Pouillon, François	3200168	32001680;253848855;307268192	1	Person		http://example.org/6795567#Agent700-53	
Vatin, Jean-Claude	76436944		0.9473684211	Person		http://example.org/6795567#Agent700-54	
Albert, David Z				Person		http://example.org/6808085#Agent100-32	
Snowden, Edward J., 1983-	30715757	307157574	1	Person		http://example.org/6810958#Agent600-31	
Goldfarb, Ronald L	111035427	111035427;15146998383818941427	0.9473684211	Person		http://example.org/6810958#Agent700-35	
Beatty, Andrew	991863	9918637;;	1	Person		http://example.org/6849296#Agent100-14	
Scribner, Charity	16386421	163864214	0.9444444444	Person		http://example.org/6803172#Agent100-19	
Rote Armee Fraktion				Organization		http://example.org/6803172#Agent610-29	
Rote Armee Fraktion				Organization		http://example.org/6803172#Agent610-30	
Rote Armee Fraktion				Organization		http://example.org/6803172#Agent610-31	
Orsini, Francesca	17471161	17471161;	0.9444444444	Person		http://example.org/6799297#Agent100-16	
Sayyid dynasty, 1414-1451	31657815	316578150	1	Family		http://example.org/6799297#Agent600-29	
