Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4
Smith, Robert McCaughan, 1925-	n81139026	100	Smith, Robert McCaughan, 1925-	n81139026	n81139026	1	Smith, Robert McCaughan, 1925-			Person		http://example.org/1071014#Agent100-11
Thompson, Arthur Ballard			Thompson, Arthur Ballard				Thompson, Arthur Ballard			Person		http://example.org/1071017#Agent100-11
Kidd, J. R. (James Robbins), 1915-1982	n50046850	100	Kidd, J. R. (James Robbins), 1915-1982	n50046850	n50046850	0.9736842105263158	Kidd, J. R. (James Robbins), 1915-1982			Person		http://example.org/1071837#Agent100-12
Clark, Burton R.	n80015378	100	Clark, Burton R	n80015378	n80015378	0.9375	Clark, Burton R			Person		http://example.org/1070962#Agent100-12
California. University			California. University				California. University			Jurisdiction		http://example.org/1070962#Agent810-22
David, Marcel, 1920-	n82104177	100	David, Marcel, 1920-	n82104177	n82104177	1	David, Marcel, 1920-			Person		http://example.org/1071009#Agent100-11
Pugni, J. L.	no2017073063	100	Pugni, J. L	no2017073063	no2017073063	0.9166666666666666	Pugni, J. L			Person		http://example.org/1071753#Agent100-10
Hewitt, Dorothy, 1897-			Hewitt, Dorothy, 1897-				Hewitt, Dorothy, 1897-			Person		http://example.org/1072591#Agent100-10
Mather, Kirtley F. (Kirtley Fletcher), 1888- 	n85803448	94	Mather, Kirtley F. (Kirtley Fletcher), 1888- 	n85803448	n85803448	0.9166666666666666	Mather, Kirtley F. (Kirtley Fletcher), 1888- 			Person		http://example.org/1072591#Agent700-19
Sheats, Paul H., 1907-	no00039527	100	Sheats, Paul H., 1907-	no00039527	no00039527	1	Sheats, Paul H., 1907-			Person		http://example.org/1071714#Agent100-10
Thorndike, Edward L. (Edward Lee), 1874-1949	n80126309	100	Thorndike, Edward L. (Edward Lee), 1874-1949	n80126309	n80126309	0.9777777777777777	Thorndike, Edward L. (Edward Lee), 1874-1949			Person		http://example.org/1071716#Agent100-10
Woodyard, Ella, 1878-	n86861939	100	Woodyard, Ella, 1878-	n86861939	n86861939	1	Woodyard, Ella, 1878- 			Person		http://example.org/1071716#Agent700-21
Tilton, J. W. (John Warren), 1891-1977	no2014148443	100	Tilton, J. W. (John Warren), 1891-1977	no2014148443	no2014148443	1	Tilton, J. W. (John Warren), 1891-1977			Person		http://example.org/1071716#Agent700-22
Bregman, Elsie Oschrin, 1896- 			Bregman, Elsie Oschrin, 1896- 				Bregman, Elsie Oschrin, 1896- 			Person		http://example.org/1071716#Agent700-23
Skeels, Harold Manville, 1901-1970	no2011087502	100	Skeels, Harold Manville, 1901-1970	no2011087502	no2011087502	1	Skeels, Harold Manville, 1901-1970			Person		http://example.org/1030978#Agent100-13
Srinivasa Chari, S. M., 1918-	n88655388	100	Srinivasa Chari, S. M., 1918-	n88655388	n88655388	0.9655172413793104	Srinivasa Chari, S. M., 1918-			Person		http://example.org/1047226#Agent100-9
Veṅkaṭanātha, 1268-1369	n79073882	93	Veṅkaṭanātha, 1268-1369	n79073882	n79073882	0.9565217391304348	Veṅkaṭanātha, 1268-1369			Person		http://example.org/1047226#Agent600-18
Chaykin, Irving J			Chaykin, Irving J				Chaykin, Irving J			Person		http://example.org/1016992#Agent100-10
Zimering, Max			Zimering, Max				Zimering, Max			Person		http://example.org/1016992#Agent700-19
Kohler, Eric Louis, 1892-1976	n80131599	100	Kohler, Eric Louis, 1892-1976	n80131599	n80131599	1	Kohler, Eric Louis, 1892-1976			Person		http://example.org/1013478#Agent100-10
Kester, Roy Bernard, 1882-	n87856535	88	Kester, Roy Bernard, 1882-				Kester, Roy Bernard, 1882-			Person		http://example.org/1015024#Agent100-10
Bedford, Norton M.	n50006943	100	Bedford, Norton M	n50006943	n50006943	0.9444444444444444	Bedford, Norton M			Person		http://example.org/1014902#Agent100-10
Karrenbrock, Wilbert Eugene, 1899-	n79056724	100	Karrenbrock, Wilbert Eugene, 1899-	n79056724	n79056724	1	Karrenbrock, Wilbert Eugene, 1899-			Person		http://example.org/1015017#Agent100-10
Noble, Howard Scott, 1893-	no99036811	84	Noble, Howard Scott, 1893-				Noble, Howard Scott, 1893-			Person		http://example.org/1015017#Agent700-19
Simons, Harry, 1912-	n79043109	100	Simons, Harry, 1912-	n79043109	n79043109	1	Simons, Harry, 1912- 			Person		http://example.org/1015017#Agent700-20
Johnson, Arnold Waldemar, 1900-	no2009141779	80	Johnson, Arnold Waldemar, 1900-				Johnson, Arnold Waldemar, 1900-			Person		http://example.org/1015010#Agent100-10
Stoney, John			Stoney, John				Stoney, John			Person		http://example.org/1028244#Agent100-9
Workshop on Advanced Aquatic Skills and Related Activities, Indiana University, 1962			Workshop on Advanced Aquatic Skills and Related Activities, Indiana University, 1962				Workshop on Advanced Aquatic Skills and Related Activities, Indiana University, 1962			Meeting		http://example.org/1072221#Agent111-10
Conference for National Cooperation in Aquatics	n79133807	100	Conference for National Cooperation in Aquatics		n79133807		Conference for National Cooperation in Aquatics	n79133807	1	Organization		http://example.org/1072221#Agent710-21
Council for National Cooperation in Aquatics	n79133806	100	Council for National Cooperation in Aquatics		n79133806		Council for National Cooperation in Aquatics	n79133806	1	Organization		http://example.org/1072221#Agent710-22
Lipperman, Lawrence L			Lipperman, Lawrence L				Lipperman, Lawrence L			Person		http://example.org/1012075#Agent100-11
Sagan, Hans	n80004017	100	Sagan, Hans	n80004017	n80004017	0.9166666666666666	Sagan, Hans			Person		http://example.org/1044272#Agent100-11
Sethi, S. Prakash	n79129047	100	Sethi, S. Prakash	n79129047	n79129047	0.9444444444444444	Sethi, S. Prakash			Person		http://example.org/1022646#Agent100-13
Comtet, Louis	no2011036343	100	Comtet, Louis	no2011036343	no2011036343	0.9285714285714286	Comtet, Louis			Person		http://example.org/1051808#Agent100-13
Halliwell, B. J			Halliwell, B. J				Halliwell, B. J			Person		http://example.org/1060597#Agent100-11
Interdisciplinary Symposium on Advanced Concepts and Techniques in the Study of Snow and Ice Resources, Monterey, Calif., 1973			Interdisciplinary Symposium on Advanced Concepts and Techniques in the Study of Snow and Ice Resources, Monterey, Calif., 1973				Interdisciplinary Symposium on Advanced Concepts and Techniques in the Study of Snow and Ice Resources, Monterey, Calif., 1973			Meeting		http://example.org/1072526#Agent111-14
Santeford, H. S.	n86105995	100	Santeford, H. S	n86105995	n86105995	0.9375	Santeford, H. S			Person		http://example.org/1072526#Agent700-26
Smith, James LeRoy, 1921-1980	n82064010	100	Smith, James LeRoy, 1921-1980	n82064010	n82064010	1	Smith, James LeRoy, 1921-1980			Person		http://example.org/1072526#Agent700-27
U.S. National Committee for the International Hydrological Decade. Work Group on Snow and Ice			U.S. National Committee for the International Hydrological Decade. Work Group on Snow and Ice				U.S. National Committee for the International Hydrological Decade. Work Group on Snow and Ice			Organization		http://example.org/1072526#Agent710-28
U.S. National Committee for the International Hydrological Decade. Work Group on Remote Sensing			U.S. National Committee for the International Hydrological Decade. Work Group on Remote Sensing				U.S. National Committee for the International Hydrological Decade. Work Group on Remote Sensing			Organization		http://example.org/1072526#Agent710-29
U.S. National Committee for the International Hydrological Decade. Work Group on Nuclear Techniques			U.S. National Committee for the International Hydrological Decade. Work Group on Nuclear Techniques				U.S. National Committee for the International Hydrological Decade. Work Group on Nuclear Techniques			Organization		http://example.org/1072526#Agent710-30
Batty, J. (Joseph), 1929-	n88601269	100	Batty, J. (Joseph), 1929-	n88601269	n88601269	1	Batty, J. (Joseph), 1929-			Person		http://example.org/1063182#Agent100-11
Symposium on Advanced Experimental Techniques in the Mechanics of Materials, San Antonio, Texas, 1970			Symposium on Advanced Experimental Techniques in the Mechanics of Materials, San Antonio, Texas, 1970				Symposium on Advanced Experimental Techniques in the Mechanics of Materials, San Antonio, Texas, 1970			Meeting		http://example.org/1058816#Agent111-11
Francis, Philip H. (Philip Harwood)	no2010199611	91	Francis, Philip H. (Philip Harwood)	no2010199611	no2010199611	0.8571428571428571	Francis, Philip H. (Philip Harwood)			Person		http://example.org/1058816#Agent700-21
Lindholm, Ulric S., 1931-	nr95045912	100	Lindholm, Ulric S., 1931-	nr95045912	nr95045912	0.8620689655172413	Lindholm, Ulric S., 1931-			Person		http://example.org/1058816#Agent700-22
Huntsman, Richard G. (Richard George)	n85814955	100	Huntsman, Richard G. (Richard George)	n85814955	n85814955	1	Huntsman, Richard G. (Richard George)			Person		http://example.org/1039801#Agent100-10
Jenkins, George C.	n93804714	100	Jenkins, George C	n93804714	n93804714	0.9444444444444444	Jenkins, George C			Person		http://example.org/1039801#Agent700-19
Ottman, Robert W.	n82144207	100	Ottman, Robert W	n82144207	n82144207	0.9411764705882353	Ottman, Robert W			Person		http://example.org/1075955#Agent100-11
Absalom, Roger Neil Lewis	n50036867	100	Absalom, Roger Neil Lewis	n50036867	n50036867	1	Absalom, Roger Neil Lewis			Person		http://example.org/1092332#Agent100-14
Potestà, Sandrà	n83328240	92	Potestà, Sandrà				Potestà, Sandrà			Person		http://example.org/1092332#Agent700-25
Agnew, Peter Lawrence, 1901-	n50040126	100	Agnew, Peter Lawrence, 1901-	n50040126	n50040126	1	Agnew, Peter Lawrence, 1901-			Person		http://example.org/1015123#Agent100-10
Brady, Mary Margaret			Brady, Mary Margaret				Brady, Mary Margaret			Person		http://example.org/1015123#Agent700-19
Knight, Charles Kelley	n89662516	100	Knight, Charles Kelley	n89662516	n89662516	1	Knight, Charles Kelley			Person		http://example.org/1021575#Agent100-10
Society of Plastics Engineers. Buffalo Section			Society of Plastics Engineers. Buffalo Section				Society of Plastics Engineers. Buffalo Section			Organization		http://example.org/1063500#Agent710-18
Society of Plastics Engineers. Regional Technical Conference	n89641569	100	Society of Plastics Engineers. Regional Technical Conference		n89641569		Society of Plastics Engineers. Regional Technical Conference	n89641569	1	Organization		http://example.org/1063500#Agent810-19
Pedoe, Joseph			Pedoe, Joseph				Pedoe, Joseph			Person		http://example.org/1070746#Agent100-10
Langford, Michael, 1933-	n79139203	100	Langford, Michael, 1933-	n79139203	n79139203	0.8571428571428571	Langford, Michael, 1933-			Person		http://example.org/1047640#Agent100-12
Murphy, Mary Elizabeth, 1905-			Murphy, Mary Elizabeth, 1905-				Murphy, Mary Elizabeth, 1905-			Person		http://example.org/1014201#Agent100-10
North Atlantic Treaty Organization. Advisory Group for Aerospace Research and Development. Flight Mechanics Panel	n50076733	100	North Atlantic Treaty Organization. Advisory Group for Aerospace Research and Development. Flight Mechanics Panel		n50076733		North Atlantic Treaty Organization. Advisory Group for Aerospace Research and Development. Flight Mechanics Panel	n50076733	1	Organization		http://example.org/1068375#Agent710-19
Mason, K. L. J			Mason, K. L. J				Mason, K. L. J			Person		http://example.org/1095082#Agent100-11
Lawrence, M. J.	n84048643	100	Lawrence, M. J				Lawrence, M. J			Person		http://example.org/1095082#Agent700-23
Hill, L. A. (Leslie Alexander)	n80001589	100	Hill, L. A. (Leslie Alexander)	n80001589	n80001589	1	Hill, L. A. (Leslie Alexander)			Person		http://example.org/1010868#Agent100-10
Ravis, Donald Paul			Ravis, Donald Paul				Ravis, Donald Paul			Person		http://example.org/1024875#Agent100-10
Martorana, S. V			Martorana, S. V				Martorana, S. V			Person		http://example.org/1056035#Agent100-11
Messersmith, James C.	no96041485	100	Messersmith, James C	no96041485	no96041485	0.9523809523809523	Messersmith, James C			Person		http://example.org/1056035#Agent700-21
Bowers, John Z., 1913-1993	n79007090	100	Bowers, John Z., 1913-1993	n79007090	n79007090	1	Bowers, John Z., 1913-1993			Person		http://example.org/109792#Agent700-19
Purcell, Elizabeth	n79017948	100	Purcell, Elizabeth	n79017948	n79017948	1	Purcell, Elizabeth			Person		http://example.org/109792#Agent700-20
Snart, Alan G			Snart, Alan G				Snart, Alan G			Person		http://example.org/109280#Agent700-19
Najarian, John S., 1927-	n79007271	100	Najarian, John S., 1927-	n79007271	n79007271	0.8571428571428571	Najarian, John S., 1927-			Person		http://example.org/109547#Agent700-20
Delaney, John P., 1930-	n79021701	100	Delaney, John P., 1930-	n79021701	n79021701	1	Delaney, John P., 1930-			Person		http://example.org/109547#Agent700-21
University of Minnesota. Dept. of Surgery	n79007270	93	University of Minnesota. Dept. of Surgery		n79007270		University of Minnesota. Dept. of Surgery	n79007270	0.8695652173913043	Organization		http://example.org/109547#Agent710-22
United States--Japan Seminar on Matrix Methods of Structural Analysis and Design, 2d, Berkeley, Calif., 1972			United States--Japan Seminar on Matrix Methods of Structural Analysis and Design, 2d, Berkeley, Calif., 1972				United States--Japan Seminar on Matrix Methods of Structural Analysis and Design, 2d, Berkeley, Calif., 1972			Meeting		http://example.org/1052862#Agent111-10
Oden, J. Tinsley (John Tinsley), 1936-	n81094071	100	Oden, J. Tinsley (John Tinsley), 1936-	n81094071	n81094071	1	Oden, J. Tinsley (John Tinsley), 1936-			Person		http://example.org/1052862#Agent700-21
Clough, Ray W., 1920-	n86867449	100	Clough, Ray W., 1920-	n86867449	n86867449	1	Clough, Ray W., 1920-			Person		http://example.org/1052862#Agent700-22
Yamamoto, Yoshiyuki, 1924-	n86031883	100	Yamamoto, Yoshiyuki, 1924-	n86031883	n86031883	1	Yamamoto, Yoshiyuki, 1924-			Person		http://example.org/1052862#Agent700-23
National Science Foundation (U.S.)	n79005681	100	National Science Foundation (U.S.)		n79005681		National Science Foundation (U.S.)	n79005681	1	Organization		http://example.org/1052862#Agent710-24
Nihon Gakujutsu Shinkōkai	n79079558	98	Nihon Gakujutsu Shinkōkai		n79079558		Nihon Gakujutsu Shinkōkai	n79079558	0.9615384615384616	Organization		http://example.org/1052862#Agent710-25
Chu, Wesley W.	n79115969	100	Chu, Wesley W	n79115969	n79115969	0.9285714285714286	Chu, Wesley W			Person		http://example.org/1080019#Agent100-11
American Management Association. Administrative Services Division	n86084598	100	American Management Association. Administrative Services Division		n86084598		American Management Association. Administrative Services Division	n86084598	1	Organization		http://example.org/1011225#Agent110-10
Wall, William Douglas	n50019635	100	Wall, William Douglas	n50019635	n50019635	0.9545454545454546	Wall, William Douglas			Person		http://example.org/1062862#Agent700-24
Varma, Ved P.	n50044977	100	Varma, Ved P	n50044977	n50044977	0.9230769230769231	Varma, Ved P			Person		http://example.org/1062862#Agent700-25
Vernon, Philip E., 1905-1987	n79032942	100	Vernon, Philip E., 1905-1987	n79032942	n79032942	1	Vernon, Philip E., 1905-1987			Person		http://example.org/1062862#Agent700-26
World Congress of Gastrointestinal Endoscopy. 2d, Rome and Copenhagen, 1970			World Congress of Gastrointestinal Endoscopy. 2d, Rome and Copenhagen, 1970				World Congress of Gastrointestinal Endoscopy. 2d, Rome and Copenhagen, 1970			Meeting		http://example.org/1011323#Agent111-9
Marcozzi, G			Marcozzi, G				Marcozzi, G			Person		http://example.org/1011323#Agent700-19
Crespi, Mario			Crespi, Mario				Crespi, Mario			Person		http://example.org/1011323#Agent700-20
Bergsma, Daniel	n79022131	100	Bergsma, Daniel	n79022131	n79022131	0.9375	Bergsma, Daniel			Person		http://example.org/1003946#Agent700-20
American Association for the Advancement of Science	n79053772	100	American Association for the Advancement of Science		n79053772		American Association for the Advancement of Science	n79053772	0.9411764705882353	Organization		http://example.org/1003946#Agent710-21
American Genetic Association	n87870911	100	American Genetic Association		n87870911		American Genetic Association	n87870911	0.9285714285714286	Organization		http://example.org/1003946#Agent710-22
National Foundation	n79005669	100	National Foundation				National Foundation			Organization		http://example.org/1003946#Agent710-23
Fishman, Joshua A.	n50004053	100	Fishman, Joshua A	n50004053	n50004053	0.9444444444444444	Fishman, Joshua A			Person		http://example.org/1052208#Agent100-10
Chapman, N. B. (Norman Bellamy), 1916-	n50055890	100	Chapman, N. B. (Norman Bellamy), 1916-	n50055890	n50055890	1	Chapman, N. B. (Norman Bellamy), 1916-			Person		http://example.org/1031786#Agent100-11
Shorter, John, 1926-	n82120559	100	Shorter, John, 1926-	n82120559	n82120559	0.8333333333333334	Shorter, John, 1926-			Person		http://example.org/1031786#Agent700-20
Kallstrom, Marta C., 1951-			Kallstrom, Marta C., 1951-				Kallstrom, Marta C., 1951-			Person		http://example.org/1037755#Agent700-22
Yarnall, Stephen R., 1943-			Yarnall, Stephen R., 1943-				Yarnall, Stephen R., 1943-			Person		http://example.org/1037755#Agent700-23
Rousseau, Ronald W., 1943-	n82055969	100	Rousseau, Ronald W., 1943- 	n82055969	n82055969	0.8666666666666667	Rousseau, Ronald W., 1943- 			Person		http://example.org/1022903#Agent700-21
Anderson, R. L.	n79138243	100	Anderson, R. L				Anderson, R. L			Person		http://example.org/1022903#Agent700-22
International Congress on Rock Mechanics. (3d : 1974: Denver, Colo.)			International Congress on Rock Mechanics. (3d : 1974: Denver, Colo.)				International Congress on Rock Mechanics. (3d : 1974: Denver, Colo.)			Meeting		http://example.org/1057213#Agent111-13
International Society for Rock Mechanics	n50037248	100	International Society for Rock Mechanics		n50037248		International Society for Rock Mechanics	n50037248	0.975609756097561	Organization		http://example.org/1057213#Agent710-26
U.S. National Committee for Rock Mechanics	n83229779	100	U.S. National Committee for Rock Mechanics		n83229779		U.S. National Committee for Rock Mechanics	n83229779	1	Organization		http://example.org/1057213#Agent710-27
Brend, Ruth Margaret, 1927- 			Brend, Ruth Margaret, 1927- 				Brend, Ruth Margaret, 1927- 			Person		http://example.org/1047699#Agent100-11
Tilgner, Damazy Jerzy	n85190654	89	Tilgner, Damazy Jerzy	n85190654	n85190654	0.8095238095238095	Tilgner, Damazy Jerzy			Person		http://example.org/1027188#Agent700-20
Gdańsk (Poland) Politechnika	n78021474	84	Gdańsk (Poland) Politechnika				Gdańsk (Poland) Politechnika			Jurisdiction		http://example.org/1027188#Agent710-21
Birniehill Institute	n50072287	100	Birniehill Institute		n50072287		Birniehill Institute	n50072287	1	Organization		http://example.org/1065659#Agent710-17
Wardle, Robert Arnold, 1890-1974	no95051293	87	Wardle, Robert Arnold, 1890-1974				Wardle, Robert Arnold, 1890-1974			Person		http://example.org/1032364#Agent100-12
McLeod, James Archie	no95051294	100	McLeod, James Archie	no95051294	no95051294	0.9523809523809523	McLeod, James Archie			Person		http://example.org/1032364#Agent700-22
Radinovsky, Sydney	no2005104775	100	Radinovsky, Sydney	no2005104775	no2005104775	1	Radinovsky, Sydney			Person		http://example.org/1032364#Agent700-23
Reid, Eric, 1922-	n50050912	100	Reid, Eric, 1922- 	n50050912	n50050912	0.8095238095238095	Reid, Eric, 1922- 			Person		http://example.org/1004257#Agent700-21
National Conference on the Disadvantaged Gifted. 3d, St. Louis, Mo., 1977			National Conference on the Disadvantaged Gifted. 3d, St. Louis, Mo., 1977				National Conference on the Disadvantaged Gifted. 3d, St. Louis, Mo., 1977			Meeting		http://example.org/1058#Agent111-9
Rivlin, Harry Nathaniel, 1904-	n50051029	81	Rivlin, Harry Nathaniel, 1904-				Rivlin, Harry Nathaniel, 1904-			Person		http://example.org/1058#Agent700-22
Musa, Mark	n50027637	100	Musa, Mark	n50027637	n50027637	0.9090909090909091	Musa, Mark			Person		http://example.org/1051838#Agent100-11
Dante Alighieri, 1265-1321	n78095495	100	Dante Alighieri, 1265-1321	n78095495	n78095495	0.9629629629629629	Dante Alighieri, 1265-1321			Person		http://example.org/1051838#Agent600-20
Scheepmaker, H. J.	no95055070	100	Scheepmaker, H. J	no95055070	no95055070	0.9444444444444444	Scheepmaker, H. J			Person		http://example.org/1077869#Agent700-28
Marshall, Sybil	n50040901	100	Marshall, Sybil	n50040901	n50040901	1	Marshall, Sybil			Person		http://example.org/1064950#Agent100-12
Longhurst, Henry, 1909-1978	nb2009020817	100	Longhurst, Henry, 1909-1978	nb2009020817	nb2009020817	1	Longhurst, Henry, 1909-1978			Person		http://example.org/1004516#Agent100-11
British Petroleum Company, ltd	n80044909	93	British Petroleum Company, ltd		n80044909		British Petroleum Company, ltd	n80044909	0.8333333333333334	Organization		http://example.org/1004516#Agent610-21
Pearlman, Moshe, 1911-1986	n50012406	100	Pearlman, Moshe, 1911-1986	n50012406	n50012406	1	Pearlman, Moshe, 1911-1986			Person		http://example.org/1055634#Agent100-11
Cawelti, John G.	n50034334	100	Cawelti, John G	n50034334	n50034334	0.9375	Cawelti, John G			Person		http://example.org/104597#Agent100-15
Keyes, Roger, 1872-1945	n50048181	100	Keyes, Roger, 1872-1945	n50048181	n50048181	1	Keyes, Roger, 1872-1945			Person		http://example.org/1006861#Agent100-10
Keyes, Roger, 1872-1945	n50048181	100	Keyes, Roger, 1872-1945	n50048181	n50048181	1	Keyes, Roger, 1872-1945			Person		http://example.org/1006861#Agent600-19
Great Britain. Royal Navy	n79006861	100	Great Britain. Royal Navy		n79006861		Great Britain. Royal Navy	n79006861	1	Jurisdiction		http://example.org/1006861#Agent610-20
Dennis, Afred Lewis Pinneo, 1874-			Dennis, Afred Lewis Pinneo, 1874-				Dennis, Afred Lewis Pinneo, 1874-			Person		http://example.org/1052624#Agent100-11
Chichinov, Zakhar, 1802-	nr95037931	100	Chichinov, Zakhar, 1802-	nr95037931	nr95037931	1	Chichinov, Zakhar, 1802-			Person		http://example.org/1020347#Agent100-12
Smith, James A., 1914-	n50014018	100	Smith, James A., 1914-	n50014018	n50014018	1	Smith, James A., 1914-			Person		http://example.org/1064635#Agent100-13
Holl, Adelaide	n80032822	100	Holl, Adelaide	n80032822	n80032822	0.9333333333333333	Holl, Adelaide			Person		http://example.org/1010649#Agent700-22
Van der Eyken, Willem, 1933-	n50045038	100	Van der Eyken, Willem, 1933-	n50045038	n50045038	0.875	Van der Eyken, Willem, 1933-			Person		http://example.org/1057268#Agent100-16
Turner, Barry	n50013332	100	Turner, Barry				Turner, Barry			Person		http://example.org/1057268#Agent700-26
Metzgar, Judson D.	no2007051105	100	Metzgar, Judson D	no2007051105	no2007051105	0.9444444444444444	Metzgar, Judson D			Person		http://example.org/1026119#Agent100-9
Tanner, Rollin Harvelle, 1874-	no2008025386	100	Tanner, Rollin Harvelle, 1874-	no2008025386	no2008025386	1	Tanner, Rollin Harvelle, 1874-			Person		http://example.org/1089593#Agent100-10
Lawler, Lillian B. (Lillian Beatrice), 1898- 	n88626236	94	Lawler, Lillian B. (Lillian Beatrice), 1898- 	n88626236	n88626236	0.9166666666666666	Lawler, Lillian B. (Lillian Beatrice), 1898- 			Person		http://example.org/1089593#Agent700-19
Riley, Mary I			Riley, Mary I				Riley, Mary I			Person		http://example.org/1089593#Agent700-20
Fairbank, Wilma	n83189345	100	Fairbank, Wilma	n83189345	n83189345	0.9375	Fairbank, Wilma			Person		http://example.org/1087042#Agent100-13
Downes, Edward, 1911-2001	n81041850	100	Downes, Edward, 1911-2001	n81041850	n81041850	1	Downes, Edward, 1911-2001			Person		http://example.org/1083475#Agent100-11
Cosgrave, John O'Hara, 1908-1968	n85359803	95	Cosgrave, John O'Hara, 1908-1968				Cosgrave, John O'Hara, 1908-1968			Person		http://example.org/1083475#Agent700-20
Anderson, William Marshall, 1807-1881	n86145198	100	Anderson, William Marshall, 1807-1881	n86145198	n86145198	1	Anderson, William Marshall, 1807-1881			Person		http://example.org/1034033#Agent100-10
Ulam, Stanislaw M.	n50046814	100	Ulam, Stanislaw M	n50046814	n50046814	0.9444444444444444	Ulam, Stanislaw M			Person		http://example.org/100642#Agent100-18
Ulam, Stanislaw M.	n50046814	100	Ulam, Stanislaw M	n50046814	n50046814	0.9444444444444444	Ulam, Stanislaw M			Person		http://example.org/100642#Agent600-26
Sloan, Alfred P. (Alfred Pritchard), 1875-1966	n89115529	100	Sloan, Alfred P. (Alfred Pritchard), 1875-1966	n89115529	n89115529	1	Sloan, Alfred P. (Alfred Pritchard), 1875-1966			Person		http://example.org/1004007#Agent100-10
General Motors Corporation	n79079577	100	General Motors Corporation		n79079577		General Motors Corporation	n79079577	0.9230769230769231	Organization		http://example.org/1004007#Agent610-18
Sparkes, Boyden, 1890-1954	n79114041	100	Sparkes, Boyden, 1890-1954	n79114041	n79114041	1	Sparkes, Boyden, 1890-1954			Person		http://example.org/1004007#Agent700-19
Trelawny, Edward John, 1792-1881	n50011633	100	Trelawny, Edward John, 1792-1881	n50011633	n50011633	1	Trelawny, Edward John, 1792-1881			Person		http://example.org/1032481#Agent100-10
Fisher, James, 1912-1970	n50005253	100	Fisher, James, 1912-1970	n50005253	n50005253	1	Fisher, James, 1912-1970			Person		http://example.org/1014008#Agent100-9
Ainslie, Douglas, 1865-1948	n86095940	100	Ainslie, Douglas, 1865-1948	n86095940	n86095940	1	Ainslie, Douglas, 1865-1948			Person		http://example.org/1078559#Agent100-10
Ainslie, Douglas, 1865-1948	n86095940	100	Ainslie, Douglas, 1865-1948	n86095940	n86095940	1	Ainslie, Douglas, 1865-1948			Person		http://example.org/1078559#Agent600-18
Kirker, James, 1921-			Kirker, James, 1921-				Kirker, James, 1921-			Person		http://example.org/1005921#Agent100-12
Swienciki, Lawrence W.	n86844711	100	Swienciki, Lawrence W	n86844711	n86844711	0.9545454545454546	Swienciki, Lawrence W			Person		http://example.org/1060627#Agent100-10
Barnouw, Elsa	n85043141	100	Barnouw, Elsa	n85043141	n85043141	1	Barnouw, Elsa			Person		http://example.org/1063044#Agent100-14
Swan, Arthur	n85043142	100	Swan, Arthur	n85043142	n85043142	1	Swan, Arthur			Person		http://example.org/1063044#Agent700-24
Minnesota Museum of Art	n82032090	100	Minnesota Museum of Art				Minnesota Museum of Art			Organization		http://example.org/1077855#Agent110-11
Harding, Helen Mary	n84124847	100	Harding, Helen Mary	n84124847	n84124847	1	Harding, Helen Mary			Person		http://example.org/1077855#Agent600-21
Jeneid, Michael	n90681988	100	Jeneid, Michael	n90681988	n90681988	1	Jeneid, Michael			Person		http://example.org/1069300#Agent100-13
Outward Bound Trust	n50082464	100	Outward Bound Trust		n50082464		Outward Bound Trust	n50082464	1	Organization		http://example.org/1069300#Agent610-22
Brož, Ladislav			Brož, Ladislav				Brož, Ladislav			Person		http://example.org/1061572#Agent100-10
Madvig, J. N. (Johan Nikolai), 1804-1886	n79089670	100	Madvig, J. N. (Johan Nikolai), 1804-1886	n79089670	n79089670	1	Madvig, J. N. (Johan Nikolai), 1804-1886			Person		http://example.org/1094646#Agent100-10
Goodman, Michael J.	no2009111895	100	Goodman, Michael J				Goodman, Michael J			Person		http://example.org/106755#Agent100-10
Tertullian, approximately 160-approximately 230	n79091867	100	Tertullian, approximately 160-approximately 230	n79091867	n79091867	1	Tertullian, approximately 160-approximately 230			Person		http://example.org/1025827#Agent100-11
Tränkle, Hermann	n86074470	97	Tränkle, Hermann	n86074470	n86074470	1	Tränkle, Hermann			Person		http://example.org/1025827#Agent700-20
Philodemus, approximately 110-approximately 40 B.C	n84007239		Philodemus, approximately 110-approximately 40 B.C	n84007239	n84007239	0.8928571428571429	Philodemus, approximately 110-approximately 40 B.C			Person		http://example.org/1091319#Agent100-10
Sbordone, Francesco	n85044023	100	Sbordone, Francesco	n85044023	n85044023	1	Sbordone, Francesco			Person		http://example.org/1091319#Agent700-19
Braun, John	nr92041285	100	Braun, John	n79091892	n79091892	0.8333333333333334	Braun, John			Person		http://example.org/103759#Agent100-10
Lyon, Leverett Samuel, 1885-1959	no93007145	85	Lyon, Leverett Samuel, 1885-1959				Lyon, Leverett Samuel, 1885-1959			Person		http://example.org/1015335#Agent100-10
Sparrow, Walter Shaw, 1862-1940	n83139027	100	Sparrow, Walter Shaw, 1862-1940	n83139027	n83139027	1	Sparrow, Walter Shaw, 1862-1940			Person		http://example.org/1085420#Agent100-10
Lever, Edward Albert, 1900-			Lever, Edward Albert, 1900-				Lever, Edward Albert, 1900-			Person		http://example.org/1014597#Agent100-10
Price, Charles Matlack	n86848257	100	Price, Charles Matlack	n86848257	n86848257	1	Price, Charles Matlack			Person		http://example.org/1015316#Agent100-10
Adams, Henry Foster	n85058461	100	Adams, Henry Foster	n85058461	n85058461	1	Adams, Henry Foster			Person		http://example.org/1014612#Agent100-12
